TimeStamp,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,PROCESS.SCHED.exec_start,PROCESS.SCHED.vruntime,PROCESS.SCHED.sum_exec_runtime,PROCESS.SCHED.switches,PROCESS.SCHED.voluntary_switches,PROCESS.SCHED.involuntary_switches
17:13:22,0.45,0.0,0.3,0.0,3.36,0.0,0.0,0.0,4.11,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.32,3.0,3.0,0.0,0.0,0.0,31380320.0,23842252.0,26251832.0,16379900.0,68.0,0.0,0.684,30.846,5.074,-1.0,-1.0,1.0,0.684,0.0,0.0,0.0,36938.0,2837.0,0.0,4.0,0.0,20.0,2718.0,1.0,1226.0,0.52,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:23,0.2,0.0,0.25,0.05,3.41,0.1,0.0,0.0,3.96,3.95,0.0,14.0,0.0,0.07,0.0,0.0,0.0,5.14,0.0,2.57,0.9,0.03,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,23852840.0,26262424.0,16379900.0,72.0,0.0,0.605,22.402,3.189,-1.0,-1.0,1.0,0.605,0.0,0.0,72.0,37442.0,2638.0,0.0,4.0,1.0,19.0,2611.0,1.0,1226.0,0.52,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:24,0.25,0.0,0.1,0.0,3.6,0.05,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,23852808.0,26262392.0,16379900.0,12.0,0.0,0.449,22.143,2.683,-1.0,-1.0,1.0,0.449,0.0,0.0,0.0,36898.0,1824.0,0.0,4.0,1.0,0.0,1763.0,1.0,1226.0,0.52,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:26,0.25,0.0,0.25,0.05,3.64,0.05,0.0,0.0,4.19,4.19,0.0,3.0,0.0,0.03,0.0,0.0,0.0,11.33,0.0,4.33,1.5,0.01,0.46,0.97,9.0,9.0,0.0,0.0,0.0,31380320.0,23851444.0,26261028.0,16379900.0,32.0,0.0,0.433,32.042,5.135,-1.0,-1.0,1.0,0.433,0.0,0.0,34.0,38467.0,1979.0,0.0,4.0,1.0,0.0,1913.0,2.0,1229.0,0.52,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:27,0.2,0.0,0.3,0.0,3.36,0.05,0.0,0.0,3.91,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,23853576.0,26263172.0,16379900.0,32.0,0.0,0.483,22.764,2.819,-1.0,-1.0,1.0,0.483,0.0,0.0,0.0,38049.0,2291.0,0.0,4.0,1.0,20.0,2260.0,1.0,1230.0,0.48,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:28,0.35,0.0,0.25,0.05,3.21,0.05,0.0,0.0,3.86,3.85,0.0,128.0,0.0,1.73,0.0,0.0,0.0,13.8,0.0,0.34,3.7,0.04,4.92,1.7,7.0,10.0,0.0,0.0,0.0,31380320.0,23852572.0,26262168.0,16379900.0,32.0,0.0,0.578,25.852,3.705,-1.0,-1.0,1.0,0.578,0.0,0.0,1767.0,36199.0,2339.0,0.0,4.0,1.0,2.0,2320.0,1.0,1226.0,0.48,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:30,0.1,0.0,0.25,0.05,3.6,0.05,0.0,0.0,4.0,4.0,0.0,3.0,0.0,0.01,0.0,0.0,0.0,4.83,0.0,5.0,1.7,0.01,0.2,0.32,4.0,3.0,0.0,0.0,0.0,31380320.0,23854376.0,26264336.0,16379900.0,400.0,0.0,0.496,24.916,3.549,-1.0,-1.0,1.0,0.496,0.0,0.0,14.0,36600.0,1995.0,0.0,4.0,1.0,0.0,1937.0,2.0,1224.0,0.48,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:31,0.1,0.0,0.15,0.0,3.6,0.05,0.0,0.0,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21,4.0,2.0,0.0,0.0,0.0,31380320.0,23863608.0,26273556.0,16379900.0,148.0,0.0,0.445,23.379,3.031,-1.0,-1.0,1.0,0.445,0.0,0.0,0.0,37495.0,1821.0,0.0,4.0,2.0,0.0,1772.0,1.0,1226.0,0.48,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:32,0.25,0.0,0.2,0.0,3.5,0.0,0.0,0.0,3.95,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,23865088.0,26275036.0,16379900.0,152.0,0.0,0.468,23.753,3.248,-1.0,-1.0,1.0,0.468,0.0,0.0,0.0,36919.0,1966.0,0.0,4.0,1.0,7.0,1950.0,2.0,1229.0,0.6,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:34,0.2,0.0,0.3,0.05,3.51,0.0,0.0,0.0,4.01,4.01,0.0,28.0,0.0,0.22,0.0,3.45,0.0,8.16,0.0,0.96,2.9,0.02,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,23862316.0,26272268.0,16379900.0,152.0,0.0,0.574,32.684,4.808,-1.0,-1.0,1.0,0.574,0.0,0.0,229.0,37291.0,2320.0,0.0,4.0,1.0,3.0,2259.0,1.0,1226.0,0.6,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
