TimeStamp,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
17:18:58,0.5,0.0,0.3,0.05,3.25,0.05,0.0,0.0,4.1,4.1,0.0,45.0,0.0,0.42,0.0,10.0,0.0,9.49,0.0,3.22,1.5,0.13,0.1,0.58,2.0,4.0,0.0,0.0,0.0,31380320.0,23696912.0,26107260.0,16379900.0,148.0,0.0,0.689,19.956,4.206,-1.0,-1.0,1.0,0.689,0.0,0.0,427.0,35497.0,3939.0,0.0,5.0,1.0,0.0,3854.0,1.0,1220.0,0.38,0.47,0.0
17:18:59,0.25,0.0,0.1,0.0,3.55,0.0,0.0,0.0,3.9,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.9,0.01,0.05,0.36,1.0,2.0,0.0,0.0,0.0,31380320.0,23693668.0,26104020.0,16379900.0,156.0,0.0,0.441,21.53,2.872,-1.0,-1.0,1.0,0.441,0.0,0.0,4.0,36412.0,1823.0,0.0,4.0,2.0,0.0,1835.0,1.0,1222.0,0.38,0.47,0.0
17:19:01,0.1,0.0,0.25,0.0,3.46,0.0,0.0,0.0,3.81,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.56,3.0,4.0,0.0,0.0,0.0,31380320.0,23695104.0,26105456.0,16379900.0,156.0,0.0,0.43,24.961,3.538,-1.0,-1.0,1.0,0.43,0.0,0.0,0.0,36285.0,2235.0,0.0,4.0,1.0,0.0,2189.0,1.0,1220.0,0.38,0.47,0.0
17:19:02,0.15,0.0,0.25,0.0,3.5,0.0,0.0,0.0,3.9,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.32,3.0,3.0,0.0,0.0,0.0,31380320.0,23706252.0,26116616.0,16379900.0,476.0,0.0,0.458,29.294,4.966,-1.0,-1.0,1.0,0.458,0.0,0.0,0.0,36010.0,1861.0,0.0,4.0,1.0,7.0,1819.0,1.0,1220.0,0.35,0.46,0.0
17:19:03,0.35,0.0,0.25,0.05,3.26,0.0,0.0,0.0,3.86,3.86,0.0,25.0,0.0,0.26,0.0,0.0,0.0,10.7,0.0,1.56,3.1,0.03,1.84,8.62,20.0,20.0,0.0,0.0,0.0,31380320.0,23715348.0,26125712.0,16379900.0,476.0,0.0,0.593,36.018,5.251,-1.0,-1.0,1.0,0.593,0.0,0.0,267.0,35717.0,2647.0,0.0,4.0,2.0,0.0,2604.0,0.0,1220.0,0.35,0.46,0.0
17:19:05,0.5,0.0,0.2,0.05,3.61,0.05,0.0,0.0,4.36,4.36,0.0,25.0,0.0,0.47,0.0,13.79,0.0,19.36,0.0,5.6,1.0,0.13,4.68,1.0,7.0,7.0,0.0,0.0,0.0,31380320.0,23703236.0,26113596.0,16379900.0,476.0,0.0,0.667,19.376,4.293,-1.0,-1.0,1.0,0.667,0.0,0.0,484.0,35789.0,7735.0,0.0,4.0,2.0,0.0,7729.0,1.0,1220.0,0.35,0.46,0.0
17:19:06,0.15,0.0,0.3,0.0,3.55,0.05,0.0,0.0,4.05,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.32,4.0,3.0,0.0,0.0,0.0,31380320.0,23702204.0,26112572.0,16379900.0,12.0,0.0,0.558,32.939,6.147,-1.0,-1.0,1.0,0.558,0.0,0.0,0.0,35422.0,1837.0,0.0,4.0,1.0,0.0,1825.0,1.0,1220.0,0.35,0.46,0.0
17:19:07,0.4,0.0,0.15,0.0,3.45,0.05,0.0,0.0,4.05,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.0,0.0,0.0,0.0,31380320.0,23703816.0,26114188.0,16379900.0,28.0,0.0,0.678,20.542,3.742,-1.0,-1.0,1.0,0.678,0.0,0.0,0.0,36214.0,4572.0,0.0,4.0,1.0,8.0,4543.0,0.0,1217.0,0.4,0.47,0.0
17:19:09,0.25,0.0,0.15,0.0,3.55,0.0,0.0,0.0,3.95,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,1.0,2.0,0.0,0.0,0.0,31380320.0,23700840.0,26111212.0,16379900.0,36.0,0.0,0.543,29.978,3.97,-1.0,-1.0,1.0,0.543,0.0,0.0,0.0,36391.0,2090.0,0.0,4.0,1.0,2.0,2205.0,1.0,1225.0,0.4,0.47,0.0
17:19:10,0.15,0.0,0.15,0.0,3.65,0.05,0.0,0.0,4.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.97,10.0,9.0,0.0,0.0,0.0,31380320.0,23700848.0,26111220.0,16379900.0,36.0,0.0,0.456,30.879,4.406,-1.0,-1.0,1.0,0.456,0.0,0.0,0.0,36814.0,2156.0,0.0,4.0,1.0,0.0,2102.0,1.0,1220.0,0.4,0.47,0.0
