TimeStamp ,CPU.STAT.usr ,CPU.STAT.nice ,CPU.STAT.sys ,CPU.STAT.iowait ,CPU.STAT.irq ,CPU.STAT.soft ,CPU.STAT.steal ,CPU.STAT.guest ,CPU.STAT.util ,CPU.STAT.cutil ,STORAGE.STAT.rs ,STORAGE.STAT.ws ,STORAGE.STAT.rMBs ,STORAGE.STAT.wMBs ,STORAGE.STAT.rrqm ,STORAGE.STAT.wrqm ,STORAGE.STAT.rareq-sz ,STORAGE.STAT.wareq-sz ,STORAGE.STAT.r_await ,STORAGE.STAT.w_await ,STORAGE.STAT.util ,STORAGE.STAT.aqu-sz ,NET.STAT.rxkBs ,NET.STAT.txkBs ,NET.STAT.rxpcks ,NET.STAT.txpcks ,NET.STAT.ifutil ,NET.ESTAT.errs ,NET.ESTAT.util ,MEM.MEMINFO.MemTotal ,MEM.MEMINFO.MemFree ,MEM.MEMINFO.MemAvailable ,MEM.MEMINFO.SwapTotal ,MEM.MEMINFO.Dirty ,MEM.BANDWIDTH.Total_Util ,PERF.STAT.IPC ,PERF.STAT.CACHE-MISS-RATIO ,PERF.STAT.MPKI ,PERF.STAT.ITLB-LOAD-MISS-RATIO ,PERF.STAT.DTLB-LOAD-MISS-RATIO ,PERF.STAT.SBPI ,PERF.STAT.SBPC ,MEM.VMSTAT.procs.b ,MEM.VMSTAT.memory.swpd ,MEM.VMSTAT.io.bo ,MEM.VMSTAT.system.in ,MEM.VMSTAT.system.cs ,MEM.VMSTAT.util.swap ,MEM.VMSTAT.util.cpu ,MEM.VMSTAT.procs.r ,SYS.TASKS.procs ,SYS.TASKS.cswchs ,SYS.LDAVG.runq-sz ,SYS.LDAVG.plist-sz ,SYS.LDAVG.ldavg-1 ,SYS.LDAVG.ldavg-5 ,SYS.FDUTIL.fd-util ,PROCESS.SCHED.exec_start#dockerd ,PROCESS.SCHED.vruntime#dockerd ,PROCESS.SCHED.sum_exec_runtime#dockerd ,PROCESS.SCHED.switches#dockerd ,PROCESS.SCHED.voluntary_switches#dockerd ,PROCESS.SCHED.involuntary_switches#dockerd ,PROCESS.SCHED.exec_start#firewalld ,PROCESS.SCHED.vruntime#firewalld ,PROCESS.SCHED.sum_exec_runtime#firewalld ,PROCESS.SCHED.switches#firewalld ,PROCESS.SCHED.voluntary_switches#firewalld ,PROCESS.SCHED.involuntary_switches#firewalld
23:16:18  ,        5.41 ,          0.0 ,        0.5  ,           0.0  ,        3.11 ,         0.05 ,           0.0 ,           0.0 ,         9.07 ,          9.08 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,        230.37 ,          6.92 ,          163.0 ,           97.0 ,           1.89 ,           0.0 ,           0.0 ,          31380316.0 ,         22018672.0 ,              24451600.0 ,           16379900.0 ,            204.0 ,                     0.0 ,        1.969 ,                    33.126 ,         3.705 ,-1.0                           ,-1.0                           ,           1.0 ,         1.969 ,               0.0 ,                   0.0 ,             0.0 ,             39299.0 ,              9309.0 ,                 0.0 ,                9.0 ,               1.0 ,            2.0 ,          9197.0 ,              3.0 ,            1326.0 ,             1.32 ,             0.7  ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:19  ,        6.76 ,          0.0 ,        0.4  ,           0.0  ,        3.1  ,         0.0  ,           0.0 ,           0.0 ,        10.26 ,         10.21 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,        111.45 ,          4.03 ,           89.0 ,           57.0 ,           0.91 ,           0.0 ,           0.0 ,          31380316.0 ,         22018516.0 ,              24451452.0 ,           16379900.0 ,            208.0 ,                     0.0 ,        1.983 ,                    31.458 ,         3.593 ,-1.0                           ,-1.0                           ,           1.0 ,         1.983 ,               0.0 ,                   0.0 ,             0.0 ,             39447.0 ,              8250.0 ,                 0.0 ,               11.0 ,               1.0 ,            8.0 ,          8267.0 ,              2.0 ,            1328.0 ,             1.32 ,             0.7  ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:21  ,        8.97 ,          0.0 ,        0.45 ,           0.0  ,        3.21 ,         0.1  ,           0.0 ,           0.0 ,        12.73 ,         12.73 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,         79.86 ,          3.02 ,           64.0 ,           40.0 ,           0.65 ,           0.0 ,           0.0 ,          31380316.0 ,         22023464.0 ,              24456404.0 ,           16379900.0 ,            212.0 ,                     0.0 ,        1.667 ,                    34.337 ,         4.579 ,-1.0                           ,-1.0                           ,           1.0 ,         1.667 ,               0.0 ,                   0.0 ,             0.0 ,             39596.0 ,              7731.0 ,                 0.0 ,               13.0 ,               2.0 ,           10.0 ,          7686.0 ,              0.0 ,            1328.0 ,             1.32 ,             0.7  ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:22  ,        1.55 ,          0.0 ,        0.3  ,           0.0  ,        3.4  ,         0.05 ,           0.0 ,           0.0 ,         5.3  ,          5.28 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,         70.3  ,          2.92 ,           53.0 ,           39.0 ,           0.58 ,           0.0 ,           0.0 ,          31380316.0 ,         22003288.0 ,              24436236.0 ,           16379900.0 ,            216.0 ,                     0.0 ,        1.486 ,                    45.028 ,         4.207 ,-1.0                           ,-1.0                           ,           1.0 ,         1.486 ,               0.0 ,                   0.0 ,             0.0 ,             38595.0 ,              4725.0 ,                 0.0 ,                6.0 ,               1.0 ,            2.0 ,          4802.0 ,              1.0 ,            1327.0 ,             1.32 ,             0.7  ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:23  ,        6.95 ,          0.0 ,        0.25 ,           0.05 ,        3.1  ,         0.1  ,           0.0 ,           0.0 ,        10.4  ,         10.36 ,            0.0 ,            3.0 ,              0.0 ,             0.03 ,              0.0 ,             0.0  ,                  0.0 ,                 8.83 ,                 0.0 ,                5.0  ,              1.6 ,               0.01 ,          0.46 ,          7.02 ,            3.0 ,           10.0 ,           0.06 ,           0.0 ,           0.0 ,          31380316.0 ,         22026440.0 ,              24459372.0 ,           16379900.0 ,            216.0 ,                     0.0 ,        2.005 ,                    23.188 ,         2.866 ,-1.0                           ,-1.0                           ,           1.0 ,         2.005 ,               0.0 ,                   0.0 ,            27.0 ,             38946.0 ,              5624.0 ,                 0.0 ,               11.0 ,               1.0 ,            2.0 ,          5558.0 ,              1.0 ,            1326.0 ,             1.3  ,             0.71 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:24  ,        0.65 ,          0.0 ,        0.4  ,           0.0  ,        3.61 ,         0.0  ,           0.0 ,           0.0 ,         4.66 ,          4.66 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          2.62 ,         18.21 ,           27.0 ,           25.0 ,           0.15 ,           0.0 ,           0.0 ,          31380316.0 ,         22030464.0 ,              24463400.0 ,           16379900.0 ,            220.0 ,                     0.0 ,        0.97  ,                    36.803 ,         4.519 ,-1.0                           ,-1.0                           ,           1.0 ,         0.97  ,               0.0 ,                   0.0 ,             0.0 ,             39007.0 ,              3339.0 ,                 0.0 ,                5.0 ,               0.0 ,            8.0 ,          3313.0 ,              1.0 ,            1328.0 ,             1.3  ,             0.71 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:26  ,        0.25 ,          0.0 ,        0.15 ,           0.0  ,        3.61 ,         0.0  ,           0.0 ,           0.0 ,         4.01 ,          4.01 ,            0.0 ,           83.0 ,              0.0 ,             0.76 ,              0.0 ,             7.78 ,                  0.0 ,                 9.36 ,                 0.0 ,                1.01 ,              3.7 ,               0.06 ,          0.15 ,          0.13 ,            3.0 ,            2.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22023596.0 ,              24456532.0 ,           16379900.0 ,            252.0 ,                     0.0 ,        0.502 ,                    29.692 ,         4.656 ,-1.0                           ,-1.0                           ,           1.0 ,         0.502 ,               0.0 ,                   0.0 ,           777.0 ,             38123.0 ,              2610.0 ,                 0.0 ,                4.0 ,               1.0 ,           11.0 ,          2564.0 ,              0.0 ,            1322.0 ,             1.3  ,             0.71 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:27  ,        0.15 ,          0.0 ,        0.45 ,           0.0  ,        3.5  ,         0.0  ,           0.0 ,           0.0 ,         4.1  ,          4.1  ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.05 ,          0.06 ,            1.0 ,            1.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22030852.0 ,              24463792.0 ,           16379900.0 ,            256.0 ,                     0.0 ,        0.43  ,                    27.305 ,         3.788 ,-1.0                           ,-1.0                           ,           1.0 ,         0.43  ,               0.0 ,                   0.0 ,             0.0 ,             37630.0 ,              2241.0 ,                 0.0 ,                4.0 ,               2.0 ,            2.0 ,          2210.0 ,              1.0 ,            1322.0 ,             1.3  ,             0.71 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:28  ,        0.4  ,          0.0 ,        0.15 ,           0.0  ,        3.55 ,         0.0  ,           0.0 ,           0.0 ,         4.1  ,          4.1  ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          4.9  ,          1.38 ,           10.0 ,           12.0 ,           0.04 ,           0.0 ,           0.0 ,          31380316.0 ,         22040380.0 ,              24473328.0 ,           16379900.0 ,            256.0 ,                     0.0 ,        0.507 ,                    25.994 ,         3.063 ,-1.0                           ,-1.0                           ,           1.0 ,         0.507 ,               0.0 ,                   0.0 ,             0.0 ,             37759.0 ,              2261.0 ,                 0.0 ,                4.0 ,               0.0 ,            2.0 ,          2234.0 ,              3.0 ,            1325.0 ,             1.51 ,             0.76 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:29  ,        0.65 ,          0.0 ,        0.45 ,           0.05 ,        3.5  ,         0.0  ,           0.0 ,           0.0 ,         4.6  ,          4.6  ,            0.0 ,           23.0 ,              0.0 ,             0.26 ,              0.0 ,             0.0  ,                  0.0 ,                11.63 ,                 0.0 ,                1.3  ,              2.2 ,               0.03 ,          0.56 ,          0.23 ,            4.0 ,            4.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22026084.0 ,              24459048.0 ,           16379900.0 ,            256.0 ,                     0.0 ,        0.929 ,                    36.774 ,         5.022 ,-1.0                           ,-1.0                           ,           1.0 ,         0.929 ,               0.0 ,                   0.0 ,           267.0 ,             37991.0 ,              4154.0 ,                 0.0 ,                5.0 ,               1.0 ,           28.0 ,          4098.0 ,              1.0 ,            1325.0 ,             1.51 ,             0.76 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
