TimeStamp ,CPU.STAT.usr ,CPU.STAT.nice ,CPU.STAT.sys ,CPU.STAT.iowait ,CPU.STAT.irq ,CPU.STAT.soft ,CPU.STAT.steal ,CPU.STAT.guest ,CPU.STAT.util ,CPU.STAT.cutil ,STORAGE.STAT.rs ,STORAGE.STAT.ws ,STORAGE.STAT.rMBs ,STORAGE.STAT.wMBs ,STORAGE.STAT.rrqm ,STORAGE.STAT.wrqm ,STORAGE.STAT.rareq-sz ,STORAGE.STAT.wareq-sz ,STORAGE.STAT.r_await ,STORAGE.STAT.w_await ,STORAGE.STAT.util ,STORAGE.STAT.aqu-sz ,NET.STAT.rxkBs ,NET.STAT.txkBs ,NET.STAT.rxpcks ,NET.STAT.txpcks ,NET.STAT.ifutil ,NET.ESTAT.errs ,NET.ESTAT.util ,MEM.MEMINFO.MemTotal ,MEM.MEMINFO.MemFree ,MEM.MEMINFO.MemAvailable ,MEM.MEMINFO.SwapTotal ,MEM.MEMINFO.Dirty ,MEM.BANDWIDTH.Total_Util ,PERF.STAT.IPC ,PERF.STAT.CACHE-MISS-RATIO ,PERF.STAT.MPKI ,PERF.STAT.ITLB-LOAD-MISS-RATIO ,PERF.STAT.DTLB-LOAD-MISS-RATIO ,PERF.STAT.SBPI ,PERF.STAT.SBPC ,MEM.VMSTAT.procs.b ,MEM.VMSTAT.memory.swpd ,MEM.VMSTAT.io.bo ,MEM.VMSTAT.system.in ,MEM.VMSTAT.system.cs ,MEM.VMSTAT.util.swap ,MEM.VMSTAT.util.cpu ,MEM.VMSTAT.procs.r ,SYS.TASKS.procs ,SYS.TASKS.cswchs ,SYS.LDAVG.runq-sz ,SYS.LDAVG.plist-sz ,SYS.LDAVG.ldavg-1 ,SYS.LDAVG.ldavg-5 ,SYS.FDUTIL.fd-util
23:24:51  ,        0.35 ,          0.0 ,        0.25 ,           0.0  ,        3.4  ,         0.0  ,           0.0 ,           0.0 ,         4.0  ,          4.0  ,            0.0 ,            0.0 ,             0.0  ,             0.0  ,              0.0 ,              0.0 ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.52 ,          0.18 ,            3.0 ,            3.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22605140.0 ,              25047768.0 ,           16379900.0 ,            304.0 ,                     0.0 ,        0.715 ,                    17.582 ,         2.975 ,-1.0                           ,-1.0                           ,           1.0 ,         0.715 ,               0.0 ,                   0.0 ,             0.0 ,             38104.0 ,              4350.0 ,                 0.0 ,                4.0 ,               1.0 ,            0.0 ,          4344.0 ,              1.0 ,            1316.0 ,             0.36 ,             0.44 ,               0.0
23:24:53  ,        0.5  ,          0.0 ,        0.15 ,           0.0  ,        3.6  ,         0.0  ,           0.0 ,           0.0 ,         4.25 ,          4.25 ,            0.0 ,            0.0 ,             0.0  ,             0.0  ,              0.0 ,              0.0 ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.15 ,          0.19 ,            3.0 ,            3.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22603116.0 ,              25045728.0 ,           16379900.0 ,            312.0 ,                     0.0 ,        0.588 ,                    17.646 ,         3.737 ,-1.0                           ,-1.0                           ,           1.0 ,         0.588 ,               0.0 ,                   0.0 ,             0.0 ,             37468.0 ,              3875.0 ,                 0.0 ,                4.0 ,               0.0 ,            7.0 ,          3873.0 ,              0.0 ,            1315.0 ,             0.33 ,             0.43 ,               0.0
23:24:54  ,        0.6  ,          0.0 ,        0.35 ,           0.0  ,        3.36 ,         0.15 ,           0.0 ,           0.0 ,         4.46 ,          4.46 ,            0.0 ,            1.0 ,             0.0  ,             0.01 ,              0.0 ,              0.0 ,                  0.0 ,                 8.0  ,                 0.0 ,                9.0  ,              0.9 ,               0.01 ,          0.25 ,          0.26 ,            5.0 ,            4.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22607172.0 ,              25049784.0 ,           16379900.0 ,            312.0 ,                     0.0 ,        0.841 ,                    27.643 ,         5.253 ,-1.0                           ,-1.0                           ,           1.0 ,         0.841 ,               0.0 ,                   0.0 ,             8.0 ,             38325.0 ,             10454.0 ,                 0.0 ,                5.0 ,               1.0 ,            0.0 ,         10468.0 ,              0.0 ,            1315.0 ,             0.33 ,             0.43 ,               0.0
23:24:55  ,        2.67 ,          0.0 ,        0.81 ,           0.15 ,        3.27 ,         0.0  ,           0.0 ,           0.0 ,         6.75 ,          6.75 ,            1.0 ,           25.0 ,             0.05 ,             0.14 ,              0.0 ,              0.0 ,                 52.0 ,                 5.54 ,                 9.0 ,                2.12 ,              5.4 ,               0.05 ,          0.1  ,          0.27 ,            2.0 ,            4.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22603316.0 ,              25045928.0 ,           16379900.0 ,            304.0 ,                     0.0 ,        1.083 ,                    31.844 ,         6.416 ,-1.0                           ,-1.0                           ,           1.0 ,         1.083 ,               0.0 ,                   0.0 ,           139.0 ,             40453.0 ,             16949.0 ,                 0.0 ,                7.0 ,               0.0 ,            3.0 ,         16860.0 ,              0.0 ,            1315.0 ,             0.33 ,             0.43 ,               0.0
23:24:56  ,        0.76 ,          0.0 ,        0.2  ,           0.0  ,        3.39 ,         0.0  ,           0.0 ,           0.0 ,         4.35 ,          4.33 ,            0.0 ,            0.0 ,             0.0  ,             0.0  ,              0.0 ,              0.0 ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          5.13 ,          1.53 ,           14.0 ,           14.0 ,           0.04 ,           0.0 ,           0.0 ,          31380316.0 ,         22575024.0 ,              25017688.0 ,           16379900.0 ,            304.0 ,                     0.0 ,        0.796 ,                    21.871 ,         5.616 ,-1.0                           ,-1.0                           ,           1.0 ,         0.796 ,               0.0 ,                   0.0 ,             0.0 ,             39343.0 ,             16602.0 ,                 0.0 ,                5.0 ,               1.0 ,           20.0 ,         16569.0 ,              2.0 ,            1323.0 ,             0.33 ,             0.43 ,               0.0
23:24:58  ,        0.7  ,          0.0 ,        0.4  ,           0.0  ,        3.32 ,         0.05 ,           0.0 ,           0.0 ,         4.47 ,          4.48 ,            0.0 ,            0.0 ,             0.0  ,             0.0  ,              0.0 ,              0.0 ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.71 ,         12.0  ,           10.0 ,           13.0 ,           0.1  ,           0.0 ,           0.0 ,          31380316.0 ,         22579848.0 ,              25022512.0 ,           16379900.0 ,            316.0 ,                     0.0 ,        0.751 ,                    22.133 ,         6.189 ,-1.0                           ,-1.0                           ,           1.0 ,         0.751 ,               0.0 ,                   0.0 ,             0.0 ,             37832.0 ,             13265.0 ,                 0.0 ,                5.0 ,               0.0 ,           19.0 ,         13246.0 ,              0.0 ,            1315.0 ,             0.3  ,             0.43 ,               0.0
23:24:59  ,        1.0  ,          0.0 ,        0.25 ,           0.0  ,        3.52 ,         0.1  ,           0.0 ,           0.0 ,         4.87 ,          4.87 ,            0.0 ,           55.0 ,             0.0  ,             0.51 ,              0.0 ,              0.0 ,                  0.0 ,                 9.45 ,                 0.0 ,                0.78 ,              4.7 ,               0.04 ,          0.29 ,          0.74 ,            2.0 ,            3.0 ,           0.01 ,           0.0 ,           0.0 ,          31380316.0 ,         22577684.0 ,              25020348.0 ,           16379900.0 ,            324.0 ,                     0.0 ,        0.696 ,                    23.289 ,         8.635 ,-1.0                           ,-1.0                           ,           1.0 ,         0.696 ,               0.0 ,                   0.0 ,           519.0 ,             39344.0 ,             12878.0 ,                 0.0 ,                5.0 ,               1.0 ,            2.0 ,         12862.0 ,              1.0 ,            1321.0 ,             0.3  ,             0.43 ,               0.0
23:25:00  ,        1.25 ,          0.0 ,        0.2  ,           0.05 ,        3.41 ,         0.05 ,           0.0 ,           0.0 ,         4.91 ,          4.91 ,            0.0 ,           20.0 ,             0.0  ,             0.27 ,              0.0 ,              0.0 ,                  0.0 ,                13.97 ,                 0.0 ,                1.5  ,              2.3 ,               0.03 ,          0.63 ,          1.71 ,            8.0 ,           11.0 ,           0.01 ,           0.0 ,           0.0 ,          31380316.0 ,         22576204.0 ,              25018892.0 ,           16379900.0 ,            172.0 ,                     0.0 ,        0.964 ,                    32.273 ,         6.246 ,-1.0                           ,-1.0                           ,           1.0 ,         0.964 ,               0.0 ,                   0.0 ,           280.0 ,             38365.0 ,              6545.0 ,                 0.0 ,                5.0 ,               1.0 ,            1.0 ,          6635.0 ,              2.0 ,            1319.0 ,             0.3  ,             0.43 ,               0.0
23:25:02  ,        2.55 ,          0.0 ,        0.4  ,           0.05 ,        3.25 ,         0.05 ,           0.0 ,           0.0 ,         6.25 ,          6.24 ,            0.0 ,            3.0 ,             0.0  ,             0.02 ,              0.0 ,              0.0 ,                  0.0 ,                 5.83 ,                 0.0 ,                5.0  ,              1.6 ,               0.01 ,          4.65 ,          2.83 ,           14.0 ,           13.0 ,           0.04 ,           0.0 ,           0.0 ,          31380316.0 ,         22575408.0 ,              25018068.0 ,           16379900.0 ,            476.0 ,                     0.0 ,        1.287 ,                    29.997 ,         5.087 ,-1.0                           ,-1.0                           ,           1.0 ,         1.287 ,               0.0 ,                   0.0 ,            17.0 ,             37981.0 ,              7453.0 ,                 0.0 ,                7.0 ,               1.0 ,           20.0 ,          7058.0 ,              0.0 ,            1317.0 ,             0.3  ,             0.43 ,               0.0
23:25:03  ,        0.1  ,          0.0 ,        0.3  ,           0.0  ,        3.41 ,         0.05 ,           0.0 ,           0.0 ,         3.86 ,          3.86 ,            0.0 ,            0.0 ,             0.0  ,             0.0  ,              0.0 ,              0.0 ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.05 ,          0.06 ,            1.0 ,            1.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22626400.0 ,              25069024.0 ,           16379900.0 ,            524.0 ,                     0.0 ,        0.554 ,                    26.598 ,         3.972 ,-1.0                           ,-1.0                           ,           1.0 ,         0.554 ,               0.0 ,                   0.0 ,             0.0 ,             37072.0 ,              3169.0 ,                 0.0 ,                4.0 ,               0.0 ,           21.0 ,          3147.0 ,              0.0 ,            1315.0 ,             0.28 ,             0.42 ,               0.0
