CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.6,0,0.4,0,3.96,0.15,0,0,5.11,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.07,1,1,0,0,0,31380316,22569148,25031164,16379900,424,0,0.897,20.141,4.031,-1,-1,1,0.897,0,0,0,37616,5560,0,6,1,20,5566,1,1407,0.15,0.18,0,default,default
0.5,0,0.1,0,3.81,0.2,0,0,4.61,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.19,4,3,0,0,0,31380316,22571984,25034012,16379900,428,0,0.682,15.112,4.269,-1,-1,1,0.682,0,0,0,36770,6282,0,4,0,0,6175.25,0,1402,0.15,0.18,0,default,default
0.4,0,0.35,0,3.86,0.05,0,0,4.66,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.61,7,8,0,0,0,31380316,22570932,25032980,16379900,428,0,0.629,13.285,3.297,-1,-1,1,0.629,0,0,0,36772,4015,0,4,1,1,4042,0,1402,0.15,0.18,0,default,default
0.5,0,0.4,0.05,3.85,0.2,0,0,4.95,4.94,0,5,0,0.06,0,0,0,12.8,0,3.6,1.9,0.01,0.07,0.08,1,1,0,0,0,31380316,22572456,25034504,16379900,428,0,0.685,18.227,4.642,-1,-1,1,0.685,0,0,64,37719,4777,0,5,1,0,4775,0,1402,0.15,0.18,0,default,default
0.45,0,0.2,0,4.1,0.1,0,0,4.85,4.85,0,1,0,0.01,0,0,0,8,0,9,0.9,0.01,0.98,8.55,13,12,0.07,0,0,31380316,22579796,25041844,16379900,428,0,0.656,18.094,4.785,-1,-1,1,0.656,0,0,8,37340,5100,0,4,3,7,5105,1,1402,0.13,0.18,0,default,default
0.35,0,0.15,0,4.05,0.1,0,0,4.65,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.26,4,4,0,0,0,31380316,22583048,25045100,16379900,420,0,0.691,18.691,4.547,-1,-1,1,0.691,0,0,0,36699,4988,0,4,0,1,4949,0,1402,0.13,0.18,0,default,default
0.25,0,0.3,0,4.3,0.2,0,0,5.05,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.68,9,10,0.01,0,0,31380316,22584052,25046104,16379900,420,0,0.832,23.858,4.65,-1,-1,1,0.832,0,0,0,38435,4386,0,4,0,0,4368,1,1407,0.13,0.18,0,default,default
0.45,0,0.1,0,3.95,0.3,0,0,4.8,4.8,0,3,0,0.01,0,0,0,2.17,0,5,1.6,0.01,12.44,3.06,25,21,0.1,0,0,31380316,22581636,25043656,16379900,424,0,0.746,18.204,4.388,-1,-1,1,0.746,0,0,6,37027,4485,0,4,1,1,4469,0,1402,0.13,0.18,0,default,default
0.25,0,0.25,0,3.87,0.1,0,0,4.47,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,22581028,25043052,16379900,444,0,0.674,11.451,2.749,-1,-1,1,0.674,0,0,0,37010,4108,0,4,1,0,4077,1,1405,0.28,0.21,0,default,default
0.25,0,0.25,0,3.96,0.1,0,0,4.56,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.19,4,3,0,0,0,31380316,22588120,25050124,16379900,444,0,0.675,11.267,2.749,-1,-1,1,0.675,0,0,0,37995,4519,0,4,0,0,4514,1,1405,0.28,0.21,0,default,default
