CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
63.51,0,2.5,5.66,2.1,0.2,0,0,68.31,68.31,0,966,0,36.68,0,0,0,38.88,0,2.1,60.1,1.61,59385.9,59385.9,3228,3228,0,0,0,31380316,20103812,23339244,16379900,16,0,1.136,31.608,3.952,-1,-1,1,1.136,0,0,37563,78706,27142,0,69,31,11.88,26563.37,29,1499,0.39,3,0,throughput_performance,distributed databases
79.27,0,1.53,0.1,2.23,0.25,0,0,83.28,83.28,0,233.66,0,49.45,0,0,0,216.7,0,1.23,32.67,0.22,61353.01,61353.01,3588,3588,0,0,0,31380316,19773612,23065792,16379900,28,0,1.066,30.476,3.945,-1,-1,1,1.066,0,0,50694,101651,20513,0,84,23,2,20219,26,1501,0.39,3,0,throughput_performance,distributed databases
79.19,0,1.25,0,2.1,0.05,0,0,82.59,82.58,0,236,0,44.98,0,0,0,195.19,0,1.25,33.2,0.22,58163.14,58163.14,3195.05,3195.05,0,0,0,31380316,19965652,23223244,16379900,820,0,1.086,30.898,3.938,-1,-1,1,1.086,0,0,46065,71817,20319,0,83,1,3,20381,23,1495,0.39,3,0,throughput_performance,distributed databases
77.56,0,1.45,0,2.1,0.1,0,0,81.21,81.2,0,248.51,0,47.08,0,0,0,193.99,0,1.27,36.44,0.24,61356.78,61356.78,3241,3241,0,0,0,31380316,19882512,23164228,16379900,852,0,1.082,31.2,4.016,-1,-1,1,1.082,0,0,49617,74703,22547,0,82,19,9,22483,15,1495,2.45,3.38,0,throughput_performance,distributed databases
80.03,0,1.85,0.1,2.1,0.35,0,0,84.33,84.38,0,227,0,44.33,0,0,0,199.99,0,1.29,33.9,0.22,58099.94,58099.94,3194,3194,0,0,0,31380316,19901368,23162356,16379900,888,0,1.075,30.857,3.846,-1,-1,1,1.075,0,0,45877,97994,21622,0,84,14,0,21677,18,1496,2.45,3.38,0,throughput_performance,distributed databases
81.1,0,1.95,0,2.16,0.3,0,0,85.51,85.53,0,240,0,45.67,0,0,0,194.87,0,1.3,37.2,0.24,60076.23,60076.23,2989,2989,0,0,0,31380316,19952772,23237588,16379900,916,0,1.045,30.371,3.834,-1,-1,1,1.045,0,0,46308,77178,28316,0,85,16,2,28251,27,1496,2.45,3.38,0,throughput_performance,distributed databases
81.08,0,2.6,0.2,2.15,0.05,0,0,85.88,85.91,0,218,0,42.21,0,0,0,198.27,0,1.3,33.7,0.22,50495.88,50495.88,2605,2605,0,0,0,31380316,19825556,23127404,16379900,1872,0,1.048,31.824,3.835,-1,-1,1,1.048,0,0,43224,90908,33403,0,86,16,27,33551,16,1500,3.13,3.51,0,throughput_performance,distributed databases
80.74,0,1.7,0,2.35,0.2,0,0,84.99,85.02,0,272,0,52.23,0,0,0,196.62,0,1.3,40.2,0.27,59425.73,59425.73,2890,2890,0,0,0,31380316,19874628,23166284,16379900,5028,0,1.051,30.998,4.061,-1,-1,1,1.051,0,0,53480,93351,20051,0,85,14,21,20129,13,1499,3.13,3.51,0,throughput_performance,distributed databases
78.07,0,2.2,0.05,2.05,0.25,0,0,82.57,82.56,0,252,0,46.63,0,0,0,189.49,0,1.28,38.1,0.25,60961.14,60961.14,3206,3206,0,0,0,31380316,19917632,23209256,16379900,936,0,1.047,30.968,3.93,-1,-1,1,1.047,0,0,47292,80029,40179,0,82,17,5,40306,20,1496,3.13,3.51,0,throughput_performance,distributed databases
77.77,0,1.74,0.05,1.89,0.2,0,0,81.6,81.61,0,243,0,45.7,0,0,0,192.56,0,1.31,35.8,0.24,60084.18,60084.18,3110,3110,0,0,0,31380316,19919036,23190672,16379900,940,0,1.112,31.232,3.863,-1,-1,1,1.112,1,0,47249,58702,30161,0,82,23,1.98,28844.55,23,1501,3.13,3.51,0,throughput_performance,distributed databases
76.28,0,1.86,0,2.31,0.2,0,0,80.65,80.62,0,257,0,48.13,0,0,0,191.75,0,1.3,38.3,0.25,63251.91,63251.91,3301,3301,0,0,0,31380316,19976444,23267256,16379900,940,0,1.078,32.146,4.081,-1,-1,1,1.078,0,0,49743,87516,28397,0,80,19,9,28358,18,1500,4.56,3.8,0,throughput_performance,distributed databases
81.13,0,2.11,0,2.11,0.15,0,0,85.5,85.5,0,215,0,43.24,0,0,0,205.96,0,1.25,30.7,0.2,57989.31,57989.31,3269,3269,0,0,0,31380316,19875380,23144668,16379900,948,0,1.039,31.193,3.881,-1,-1,1,1.039,0,0,44279,79677,48334,0,85,26,0,48233,26,1503,4.56,3.8,0,throughput_performance,distributed databases
79.8,0,2.11,0,2.36,0.15,0,0,84.42,84.43,0,217,0,43.31,0,0,0,204.38,0,1.36,32.1,0.23,54865.18,54865.18,2928,2928,0,0,0,31380316,19806200,23101288,16379900,3112,0,1.046,31.434,3.843,-1,-1,1,1.046,0,0,43901,104340,43558,0,84,23,0,43060.4,23,1502,4.56,3.8,0,throughput_performance,distributed databases
77.96,0,2.3,0.05,2.2,0.3,0,0,82.76,82.76,0,256,0,47.09,0,0,0,188.37,0,1.3,39.7,0.26,62047.47,62047.47,3126,3126,0,0,0,31380316,19882816,23175748,16379900,956,0,1.061,32.513,4.148,-1,-1,1,1.061,0,0,48216,88244,21044,0,83,27,29,21093,23,1505,4.56,3.8,0,throughput_performance,distributed databases
79.46,0,1.9,0.1,2.45,0.25,0,0,84.06,84.08,0,266,0,47.81,0,0,0,184.06,0,1.3,40.5,0.27,60666.93,60666.93,3133,3133,0,0,0,31380316,19849568,23127972,16379900,964,0,1.058,31.749,4.049,-1,-1,1,1.058,0,0,49429,109386,33529,0,84,14,22,33490,14,1497,6.44,4.2,0,throughput_performance,distributed databases
76.39,0,1.55,0,2.1,0.1,0,0,80.14,80.17,0,242,0,50.82,0,0,0,215.05,0,1.24,33.8,0.22,65855.16,65855.16,3753,3753,0,0,0,31380316,19910700,23208776,16379900,968,0,1.052,30.375,4,-1,-1,1,1.052,0,0,52033,86273,19963,0,80,21,0.99,19691.09,25,1500,6.44,4.2,0,throughput_performance,distributed databases
76.38,0,2.06,0.1,2.16,0.05,0,0,80.65,80.65,0,248,0,49.91,0,0,0,206.08,0,1.25,35.5,0.23,59393.26,59393.26,3306,3306,0,0,0,31380316,19869924,23193452,16379900,968,0,1.076,31.093,3.864,-1,-1,1,1.076,0,0,49023,80362,30784,0,80,4,3,30740,13,1497,6.44,4.2,0,throughput_performance,distributed databases
79.52,0,2.31,0.05,2.11,0.3,0,0,84.24,84.24,0,218,0,41.99,0,0,0,197.23,0,1.25,32.1,0.2,52959.75,52959.75,2825,2825,0,0,0,31380316,19889044,23194588,16379900,3020,0,1.083,31.999,3.793,-1,-1,1,1.083,0,0,42996,73958,46519,0,85,32,25,46225,25,1502,6.56,4.26,0,throughput_performance,distributed databases
81.47,0,2.06,0.1,2.46,0.25,0,0,86.24,86.24,0,234,0,44.71,0,0,0,195.66,0,1.31,34.6,0.24,56121.94,56121.94,3037,3037,0,0,0,31380316,19795364,23128416,16379900,8468,0,1.051,31.282,3.943,-1,-1,1,1.051,0,0,44852,97459,24201,0,87,25,0,24283,24,1501,6.56,4.26,0,throughput_performance,distributed databases
80.57,0,1.71,0,2.21,0.2,0,0,84.69,84.7,0,300,0,61.08,0,0,0,208.47,0,1.33,37.8,0.3,58734.7,58734.7,3079,3079,0,0,0,31380316,19798080,23127240,16379900,13464,0,1.09,32.037,3.875,-1,-1,1,1.09,0,0,64010,105152,22121,0,83,8,5,21928,8,1497,6.56,4.26,0,throughput_performance,distributed databases
79.75,0,2.71,0,2.01,0.15,0,0,84.62,84.61,0,240,0,44.84,0,0,0,191.32,0,1.29,35.5,0.24,59471.14,59471.14,3096,3096,0,0,0,31380316,19882092,23208264,16379900,1052,0,1.045,32.178,4.103,-1,-1,1,1.045,0,0,45908,72022,34812,0,85,28,32,34507,27,1506,8.04,4.61,0,throughput_performance,distributed databases
76,0,2.35,0.05,2.3,0.15,0,0,80.8,80.79,0,338.61,0,48.09,0,2.56,0,145.42,0,0.98,39.5,0.25,60047.05,60047.05,3007,3007,0,0,0,31380316,19915956,23222000,16379900,1116,0,1.086,32.346,3.986,-1,-1,1,1.086,0,0,52973,98988,41199,0,81,6,22,41082,16,1501,8.04,4.61,0,throughput_performance,distributed databases
82.78,0,2.08,0,2.33,0.15,0,0,87.34,87.34,0,203,0,40.26,0,0,0,203.11,0,1.27,30.2,0.19,52923.36,52923.36,2738,2738,0,0,0,31380316,19878680,23211404,16379900,1128,0,1.045,30.396,3.841,-1,-1,1,1.045,1,0,41229,98487,24932,0,88,24,0,25296,15,1501,8.04,4.61,0,throughput_performance,distributed databases
80.78,0,1.91,0,2.26,0.05,0,0,85,84.99,0,234,0,41.2,0,0,0,180.29,0,1.33,36.7,0.24,53659.2,53659.2,2749,2749,0,0,0,31380316,19799100,23114536,16379900,5316,0,1.085,31.151,3.827,-1,-1,1,1.085,0,0,42656,97911,27377,0,86,16,0,26405,15,1501,8.04,4.61,0,throughput_performance,distributed databases
79.97,0,2,0,2.1,0.3,0,0,84.37,84.37,0,237,0,43.96,0,0.42,0,189.92,0,1.16,32.9,0.2,54280.06,54280.06,2873,2873,0,0,0,31380316,19825080,23167796,16379900,9412,0,1.033,31.13,3.942,-1,-1,1,1.033,0,0,45463,77116,46873,0,84,23,4,46697,23,1505,9,4.86,0,throughput_performance,distributed databases
79.57,0,1.56,0.05,2.21,0,0,0,83.34,83.3,0,263.37,0,61.41,0,0,0,238.77,0,1.3,33.07,0.26,58097.59,58097.59,3172,3172,0,0,0,31380316,19671052,23035640,16379900,13376,0,1.072,31.467,3.846,-1,-1,1,1.072,0,0,72892,83058,26818,0,83,23,0,26547,21,1501,9,4.86,0,throughput_performance,distributed databases
81.06,0,1.85,0.05,2,0.1,0,0,85.01,85.04,0,226,0,41.62,0,0,0,188.6,0,1.3,35.1,0.22,53621.24,53621.24,2644,2644,0,0,0,31380316,19865600,23188616,16379900,1396,0,1.051,32.226,4.08,-1,-1,1,1.051,0,0,44053,66507,22616,0,85,28,1,22594,26,1509,9,4.86,0,throughput_performance,distributed databases
