CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
8.46,0,5.11,1.55,2.85,0.1,0,0,16.52,16.52,0,3890,0,1920.17,0,0,0,505.46,0,6.54,58.7,23.52,0.35,0.26,7,4,0,0,0,31380316,19050892,22685968,16379900,8,0,1.747,45.135,3.337,-1,-1,1,1.747,0,0,1966262,47717,184126,0,17,6,9,185291,6,1652,0.39,0.6,0,throughput_performance,fileio stress
8.53,0,6.12,1.51,2.61,0.1,0,0,17.36,17.41,0,3887,0,1920.23,0,0,0,505.87,0,6.7,58.9,24.11,0.17,0.29,2,3,0,0,0,31380316,16485696,22676620,16379900,11664,0,1.804,44.634,2.868,-1,-1,1,1.804,0,0,1966329,44629,207786,0,18,5,0,207557,8,1655,0.39,0.6,0,throughput_performance,fileio stress
8.4,0,4.78,1.61,2.57,0.2,0,0,15.95,16.01,0,3891,0,1920.38,0,0,0,505.39,0,6.63,58.8,23.88,0.1,0.13,2,2,0,0,0,31380316,14001724,22676352,16379900,32412,0,1.896,45.042,3.19,-1,-1,1,1.896,0,0,1966473,44358,209545,0,16,6,7,209751,4,1653,0.68,0.66,0,throughput_performance,fileio stress
8.55,0,4.42,1.46,2.66,0.2,0,0,15.83,15.83,0,3926,0,1939.33,0,0,0,505.83,0,6.65,59.5,24.15,0.62,7.54,12,13,0.06,0,0,31380316,11435096,22653552,16379900,30960,0,1.962,43.312,3.156,-1,-1,1,1.962,1,0,2048338,45889,230529,0,16,1,7,229956,1,1654,0.68,0.66,0,throughput_performance,fileio stress
2.61,0,1.51,3.61,3.46,0.15,0,0,7.73,7.73,0,2163,0,413.15,0,0,0,195.59,0,2.94,90.9,5.49,0.3,0.13,6,2,0,0,0,31380316,8924144,22656492,16379900,0,0,1.566,34.474,3.673,-1,-1,1,1.566,1,0,414905,40615,57379,0,8,0,13,57304,0,1654,0.68,0.66,0,throughput_performance,fileio stress
1.15,0,0.5,4.31,3.86,0.15,0,0,5.66,5.65,0,1688,0,6.42,0,0,0,3.89,0,0.58,100,0.4,0.1,0.06,2,1,0,0,0,31380316,8514528,22658068,16379900,204,0,1.193,27.248,3.862,-1,-1,1,1.193,1,0,6586,40586,27072,0,6,0,1,27072,0,1654,0.68,0.66,0,throughput_performance,fileio stress
0.95,0,0.5,4.35,3.8,0.25,0,0,5.5,5.49,0,1799,0,7.67,0,0.66,0,4.37,0,0.55,99.7,0.4,0.5,7.81,7,12,0.06,0,0,31380316,8517932,22661472,16379900,636,0,1.289,31.6,4.08,-1,-1,1,1.289,1,0,7858,40707,25550,0,6,1,7,25555,1,1662,0.7,0.67,0,throughput_performance,fileio stress
0.85,0,0.65,4.3,3.8,0.15,0,0,5.45,5.44,0,1737,0,6.47,0,0,0,3.81,0,0.57,100,0.39,4.85,1.35,10,11,0.04,0,0,31380316,8544884,22688428,16379900,676,0,1.282,28.352,3.639,-1,-1,1,1.282,1,0,6644,40448,26552,0,6,0,27,25777,1,1656,0.7,0.67,0,throughput_performance,fileio stress
0.95,0,0.5,4.31,3.66,0,0,0,5.11,5.1,0,1723,0,6.56,0,0,0,3.9,0,0.57,100.1,0.39,0.53,7.43,8,10,0.06,0,0,31380316,8541172,22684916,16379900,388,0,1.24,28.425,3.79,-1,-1,1,1.24,0,0,6667,38563,24906,0,6,5,24,24857,3,1654,0.7,0.67,0,throughput_performance,fileio stress
0.85,0,0.5,4.36,3.91,0.3,0,0,5.56,5.56,0,1702,0,6.42,0,0,0,3.86,0,0.57,100.1,0.39,0.12,0.22,1,2,0,0,0,31380316,8543268,22687044,16379900,344,0,1.271,30.128,3.503,-1,-1,1,1.271,1,0,6569,40872,25233,0,6,1,2,25183,2,1657,0.7,0.67,0,throughput_performance,fileio stress
1,0,0.7,4.34,3.69,0.15,0,0,5.54,5.54,0,1709,0,6.5,0,0,0,3.89,0,0.57,100.1,0.39,0.2,0.26,4,4,0,0,0,31380316,8543292,22687072,16379900,672,0,1.155,32.085,3.616,-1,-1,1,1.155,1,0,6651,39179,25185,0,5,4,0,25163,0,1659,0.73,0.67,0,throughput_performance,fileio stress
0.9,0,0.55,4.31,3.66,0.15,0,0,5.26,5.25,0,1740,0,6.57,0,0,0,3.87,0,0.56,100,0.39,0.33,0.26,4,4,0,0,0,31380316,8545344,22689136,16379900,436,0,1.262,25.897,3.127,-1,-1,1,1.262,0,0,6745,39248,26097,0,5,2,0,26083,3,1659,0.73,0.67,0,throughput_performance,fileio stress
0.6,0,0.4,4.36,4.01,0.1,0,0,5.11,5.11,0,1705,0,6.49,0,0,0,3.9,0,0.57,100,0.4,0.2,0.31,4,5,0,0,0,31380316,8551876,22695668,16379900,420,0,1.243,27.175,3.272,-1,-1,1,1.243,1,0,6666,40935,25111,0,6,2,0,25099,0,1656,0.73,0.67,0,throughput_performance,fileio stress
