sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,workload.type,workload.appname
103102900,111775093,3880,7672,23252480,23536640,522,530,612400880,0,571254752,8425931971,951454300,4347249546,throughput_performance,influxdb
102350326,110438197,3842,7594,23977472,24210944,522,524,547993528,0,570388369,7240981288,896829280,3931433234,throughput_performance,influxdb
100174438,109275668,3758,7465,23281152,23286272,469,471,553512539,0,532350185,6948269499,877332746,3975943232,throughput_performance,influxdb
102538711,112246478,3855,7652,23675904,23676928,498,498,529680252,0,549598149,7239987320,858425448,3748836663,throughput_performance,influxdb
91906237,100470867,3457,6862,22244352,22258176,458,460,458629518,0,503223776,6654017329,1200974554,4569449121,throughput_performance,influxdb
93492907,101532460,3514,6952,65291776,65301504,543,545,459958313,0,639255100,8427763233,886184500,3435083832,throughput_performance,influxdb
102604192,111202676,3857,7616,23748608,23490560,542,542,570751941,0,596083962,7840507488,921674898,4097050510,throughput_performance,influxdb
102064583,110856318,3837,7573,23956480,23956480,494,494,552163295,0,546486695,7237738007,901337716,3968835529,throughput_performance,influxdb
101504295,110525114,3814,7587,23879168,23883264,496,497,542244348,0,544253468,7230779195,973386236,4128315201,throughput_performance,influxdb
101774092,111316792,3827,7582,24200192,24200192,536,536,557915735,0,581010238,8127003983,960650624,4165415460,throughput_performance,influxdb
98581043,109004968,3711,7431,23583744,23593472,489,491,536539792,0,540788674,7844212979,1117682172,4487634646,throughput_performance,influxdb
100175410,109472979,3769,7481,23700480,23710208,526,528,596690178,0,575954956,7831936045,984156998,4367836563,throughput_performance,influxdb
93831351,101547845,3519,6923,53273088,53282816,520,523,890947409,0,592219769,6351436461,1067306736,3781803578,throughput_performance,influxdb
95255896,103885133,3585,7111,39960064,39961088,454,454,3491105844,0,526787327,6638169912,1141328094,3823211252,throughput_performance,influxdb
101807514,112433879,3830,7677,23790592,23790592,507,507,3722298206,0,550530697,6951572427,1141218374,4432885697,throughput_performance,influxdb
102833105,112589164,3869,7695,24843776,24945152,561,576,7701283009,0,552842312,7836294898,1015810114,4133507475,throughput_performance,influxdb
99942538,108371410,3762,7452,23758848,23765504,518,520,1772959118,0,564488664,7537700045,945726940,4077583873,throughput_performance,influxdb
100866410,109824009,3791,7526,23685120,23693824,531,532,614082520,0,587534128,6339618889,1145048812,4599999960,throughput_performance,influxdb
103863249,113365543,3901,7738,23906816,23911936,511,513,566655792,0,559411388,7541958666,1104087770,4430953072,throughput_performance,influxdb
100607851,109183715,3780,7485,23839744,23845376,514,514,536079171,0,553314139,6948914183,1117221222,4408232346,throughput_performance,influxdb
92969916,101488200,3498,6951,48234496,48234496,507,507,456731780,0,590001954,7835459564,1236339194,4343043715,throughput_performance,influxdb
99111707,108983089,3729,7459,40870400,40876032,545,545,555406937,0,618152105,7832347648,1090255142,4288532681,throughput_performance,influxdb
89247810,96775996,3352,6634,47289856,47302144,520,523,471181592,0,630404611,6356845074,1090914310,3776313189,throughput_performance,influxdb
91230729,99808668,3425,6784,47134720,47659008,489,489,448960317,0,607344071,8126196548,1092327260,3672091436,throughput_performance,influxdb
93284262,100534699,3507,6903,74328064,74337792,583,586,5239345553,0,746224290,6646982740,1224812180,4195290473,throughput_performance,influxdb
89840115,97640624,3374,6675,47453696,47455232,501,502,2536153155,0,628795956,7536981433,1223999206,4255645240,throughput_performance,influxdb
89510326,98429561,3367,6705,61949440,61961728,528,531,3091844275,0,650923437,7547610145,1149134690,4100119491,throughput_performance,influxdb
100444336,109725541,3771,7503,23520768,23516160,497,497,8595145892,0,538407589,7529180078,1295548056,4896118386,throughput_performance,influxdb
91071723,99479067,3429,6787,47570944,47585792,523,528,5793566463,0,622048749,7538362690,1464500434,4919412189,throughput_performance,influxdb
101192792,110469997,3802,7554,38167040,38490112,496,499,8635348225,0,609298250,7533446702,1206043842,4040920732,throughput_performance,influxdb
38279642,42177490,1450,2900,7273984,7272960,221,220,3605782355,0,247490362,7833322728,456898618,2064290658,throughput_performance,influxdb
22310628,24632488,996,2048,3799552,3836416,119,122,907150152,0,128859777,6923082973,493768095,2196290912,throughput_performance,influxdb
103869441,109147989,3920,7482,23069696,23133696,531,537,589515766,0,564625832,8133582367,1282058546,7455816673,throughput_performance,influxdb
102744570,111799545,3874,7676,23805440,23796736,513,513,532647697,0,546563484,8125833109,1041865270,6412298707,throughput_performance,influxdb
99270348,108221312,3746,7433,22925824,22925824,524,524,556735208,0,557312263,6934561477,1314214462,8087463838,throughput_performance,influxdb
98703806,107730977,3730,7375,22950400,22962688,506,510,524077007,0,548421042,6623987919,1295104788,7459204438,throughput_performance,influxdb
88634128,96534996,3343,6585,46848000,46856192,473,475,458703244,0,565035441,7232773148,1443039950,7801215491,throughput_performance,influxdb
100122899,111383219,3779,7577,38517248,38525440,549,549,525939556,0,607843021,7824218664,1129219342,6660962178,throughput_performance,influxdb
101912064,110775878,3846,7604,23772160,23822848,494,497,531027375,0,542658687,6336897938,1206427954,6667174328,throughput_performance,influxdb
101221979,110865760,3807,7550,23023104,23240192,504,505,534278790,0,533658877,7226644777,1267758498,6838373691,throughput_performance,influxdb
101947963,111301299,3841,7648,23093760,23142912,503,505,526547911,0,537082286,6936122451,1188785720,6586019115,throughput_performance,influxdb
101753860,110850234,3846,7619,23222272,23271424,530,533,564186834,0,569849384,7818432769,1322764754,7400658867,throughput_performance,influxdb
100126720,109104470,3778,7492,23220736,23223808,540,540,589377765,0,575196331,6927623326,1253302632,7361819821,throughput_performance,influxdb
97944011,106861507,3704,7329,22740992,22740992,479,479,506799840,0,513535095,6644377513,1359430112,7171432059,throughput_performance,influxdb
92702716,100109211,3487,6855,47269888,47287808,521,523,464715129,0,628041317,7235875012,1441345038,7191500492,throughput_performance,influxdb
98236121,106459251,3714,7323,39787008,39919616,575,587,504207143,0,582052781,8107946546,1319929088,6937794516,throughput_performance,influxdb
100765261,109145314,3807,7517,23106048,23106048,526,526,562537162,0,550292159,6928946590,1280839450,6980642032,throughput_performance,influxdb
99368653,108336374,3744,7429,22812672,22816768,505,507,554960739,0,542035995,10800805526,1266723822,7092212365,throughput_performance,influxdb
99567680,108309655,3751,7418,22672896,22673920,503,505,511942719,0,533708605,11121684726,1350782824,6933673402,throughput_performance,influxdb
100954143,110089171,3806,7577,22981632,22981120,533,535,565964478,0,564582567,6622443228,1405873154,7651368895,throughput_performance,influxdb
98308331,107297742,3707,7359,22795776,22808576,526,527,579908942,0,566676732,7231576921,1441738674,7673440658,throughput_performance,influxdb
94167438,101511107,3547,7007,21932032,21931520,502,505,492769792,0,526301190,6929629016,1703578818,8303422725,throughput_performance,influxdb
91378383,99230695,3445,6788,42464256,42492928,484,485,417808507,0,580844813,7237327440,1398600570,6035605181,throughput_performance,influxdb
86115845,94540100,3247,6452,42082816,42091520,506,507,458605385,0,536052591,6931790866,1621392328,7587632095,throughput_performance,influxdb
93229402,101461013,3528,6956,42649088,42820096,505,508,428390553,0,610043862,6920711217,1290893026,5909684175,throughput_performance,influxdb
82906904,90302526,3124,6161,49611776,50297344,483,489,439265295,0,603981231,7236314927,1782393038,7932115083,throughput_performance,influxdb
93995524,102046164,3547,6979,67596288,68631552,547,548,466011249,0,673340181,7233977335,1415801246,6220499413,throughput_performance,influxdb
795684,1130340,47,104,71799808,71799808,187,186,880127834,0,408538168,7215437858,305465724,1267350648,throughput_performance,influxdb
106253685,113690832,4006,7823,21085696,21184512,519,526,546089676,0,561964971,7534313454,1933043243,9419774457,throughput_performance,influxdb
104631331,113844064,3952,7810,21584896,21588992,540,542,599188397,0,578834599,7229853707,1759785044,8847984004,throughput_performance,influxdb
99597458,108524312,3762,7450,21385728,21445120,528,535,556416176,0,558024144,11991499227,1751057318,9382222814,throughput_performance,influxdb
102275072,111663588,3853,7638,21304832,21318656,537,539,597470879,0,578186578,12585377414,1928767894,9750049789,throughput_performance,influxdb
98699575,107528382,3726,7386,21251584,21348352,566,578,492188855,0,546395421,7241405459,1911538288,9079353818,throughput_performance,influxdb
96915355,105458102,3655,7219,64904704,64925184,602,604,2121606126,0,731167352,8123573202,2054344948,9671148625,throughput_performance,influxdb
102283402,111609617,3856,7663,20960256,20959232,545,546,589159576,0,593001257,7522327040,1734140818,9187135531,throughput_performance,influxdb
103073961,112593064,3874,7675,21324800,21328896,521,521,1201469959,0,552399824,6939106117,1891541508,9037338778,throughput_performance,influxdb
103344552,112961069,3909,7737,21960192,21947392,563,563,1232314988,0,595943109,8141670022,2179561444,9747280421,throughput_performance,influxdb
103045703,111795520,3887,7686,21623296,21631488,527,529,1189884702,0,567744261,9015888364,2839881056,10103452938,throughput_performance,influxdb
95329930,104716874,3606,7209,20731904,20731904,479,478,590704114,0,506462477,6627560204,1876840566,9041557454,throughput_performance,influxdb
105983004,115020172,3992,7865,21951488,22209024,514,523,606231321,0,559078184,8722388566,101233599,1531205736,throughput_performance,influxdb
100693036,110216270,3802,7559,22039552,22087680,512,515,564049730,0,563986062,8125493413,87667480,1400158959,throughput_performance,influxdb
101749124,111140956,3842,7628,22332928,22345216,540,543,603460910,0,597058387,10516195007,105094182,1568281116,throughput_performance,influxdb
102812859,112613167,3879,7736,22253568,22259200,509,510,811122318,0,560997573,9610888912,136300374,1640017580,throughput_performance,influxdb
100199561,109846599,3787,7516,22002688,22002176,526,527,654374437,0,578257349,8424125739,134653292,1523405600,throughput_performance,influxdb
104104693,113379620,3927,7762,22635008,22573568,526,525,570255593,0,579915214,7242124366,150329248,1610687378,throughput_performance,influxdb
98535811,107576920,3716,7375,21952000,21956608,513,514,546556723,0,562567192,7838968517,151423068,1495587536,throughput_performance,influxdb
97477573,106223409,3676,7301,64473600,64418816,562,559,497652843,0,660729617,9602213511,157278942,1467978888,throughput_performance,influxdb
103974470,112964077,3922,7758,22401024,22406144,521,523,591356528,0,570953267,7837713059,190927708,1724483263,throughput_performance,influxdb
103074663,113003142,3898,7744,22651904,22650368,532,533,598580984,0,592298888,6346668452,198078368,1707107410,throughput_performance,influxdb
94228047,102752880,3560,7056,21077504,21084160,469,472,545631703,0,562886183,7244755763,202132356,1531998993,throughput_performance,influxdb
95128657,103463307,3594,7121,21539840,21633024,569,580,2509295999,0,582682465,6937141440,210379204,1604602656,throughput_performance,influxdb
95393772,104003280,3603,7154,21234688,21106688,482,483,646666611,0,569317076,7525502931,205766608,1601182060,throughput_performance,influxdb
95121913,103525486,3587,7120,20982272,20998656,469,473,1290443050,0,566527654,7540824219,237603518,1630770173,throughput_performance,influxdb
88763878,96111382,3341,6577,19466240,19601920,433,435,1078173945,0,525224718,7244229079,234086858,1487157780,throughput_performance,influxdb
92404745,100881057,3482,6937,57883136,57891840,533,533,6170436400,0,707672979,6938089457,258866164,1572484226,throughput_performance,influxdb
87444462,95872441,3305,6569,24048128,24042496,439,439,3989686050,0,524419258,7840940181,250837948,1523313133,throughput_performance,influxdb
96444936,105116640,3639,7230,20749312,20749312,475,476,3680160161,0,564452916,7831233481,289671958,1932291430,throughput_performance,influxdb
94263825,102880932,3559,7060,20976128,20979200,478,478,2652787101,0,571983150,8124541799,295262756,1712088577,throughput_performance,influxdb
29415551,32370948,1123,2238,10262528,10261504,164,163,906771112,0,195916343,7524336654,112399456,646773456,throughput_performance,influxdb
101498220,109235114,3969,7455,18583040,18641920,475,480,3166535362,0,521680163,8432570200,1177751728,4894681407,throughput_performance,influxdb
