CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
10.75,0,2.21,0,2.86,0.05,0,0,15.87,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,18551352,22151972,16379900,404,0,2.494,65.486,6.345,-1,-1,1,2.494,0,0,0,37774,4316,0,16,3,2,4323,3,1633,0.35,0.58,0,throughput_performance,memory stress
8.79,0,2,0,3.1,0.25,0,0,14.14,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.26,4,4,0,0,0,31380316,17533784,21134488,16379900,404,0,3.202,60.412,4.481,-1,-1,1,3.202,0,0,0,39191,4491,0,14,2,25,4473,2,1634,0.35,0.58,0,throughput_performance,memory stress
8.85,0,1.45,0,3.15,0.2,0,0,13.65,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.26,4,4,0,0,0,31380316,17533972,21134684,16379900,404,0,3.75,65.099,3.449,-1,-1,1,3.75,0,0,0,38192,2957,0,14,2,29,2916,2,1632,0.35,0.58,0,throughput_performance,memory stress
9.1,0,1.7,0,3.05,0.1,0,0,13.95,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.34,4,4,0,0,0,31380316,17538796,21139548,16379900,404,0,3.584,64.13,3.927,-1,-1,1,3.584,0,0,0,38532,3219,0,14,4,6,3203,3,1633,0.56,0.62,0,throughput_performance,memory stress
9.8,0,0.65,0,3.1,0.1,0,0,13.65,14.41,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0.57,5,5,0.04,0,0,31380316,17537496,21138296,16379900,408,0,1.207,88.101,20.656,-1,-1,1,1.207,0,0,0,39143,3239,0,14,3,1,3209,2,1632,0.56,0.62,0,throughput_performance,memory stress
10.09,0,0.05,0,3.2,0.25,0,0,13.59,13.55,0,0,0,0,0,0,0,0,0,0,0,0,1.26,8.18,15,14,0.07,0,0,31380316,17428404,21029204,16379900,428,0,1.156,91.155,25.519,-1,-1,1,1.156,0,0,0,38367,2966,0,13,3,1,2938,2,1632,0.56,0.62,0,throughput_performance,memory stress
9.88,0,0.4,0.05,3.04,0.2,0,0,13.52,14.3,0,69,0,0.55,0,4.17,0,8.19,0,2.3,3.3,0.14,0.3,0.31,6,5,0,0,0,31380316,18264436,21865236,16379900,428,0,2.138,43.857,1.715,-1,-1,1,2.138,0,0,565,37970,2059,0,14,3,1,2028,3,1636,0.56,0.62,0,throughput_performance,memory stress
9.56,0,0.85,0.1,3.15,0.1,0,0,13.66,14.32,0,10,0,0.04,0,0,0,3.7,0,2.3,2.4,0.02,0,0,0,0,0,0,0,31380316,17557740,21158540,16379900,428,0,3.422,79.069,7.194,-1,-1,1,3.422,0,0,37,38168,2814,0,14,4,0,2742.57,4,1639,0.75,0.66,0,throughput_performance,memory stress
10.21,0,0.1,0,3.15,0.1,0,0,13.56,14.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,17555868,21156668,16379900,404,0,3.579,80.07,7.708,-1,-1,1,3.579,0,0,0,38079,2507,0,13,4,0,2480,4,1635,0.75,0.66,0,throughput_performance,memory stress
10.21,0,0.1,0,3.1,0.2,0,0,13.61,14.31,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.25,3,4,0,0,0,31380316,17558640,21159440,16379900,404,0,4.226,80.905,7.173,-1,-1,1,4.226,0,0,0,38963,2805,0,13,3,0,2732,3,1634,0.75,0.66,0,throughput_performance,memory stress
