CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
2.17,0,0.71,0,3.23,0.25,0,0,6.36,6.35,0,0,0,0,0,0,0,0,0,0,0,0,1113195.56,1113195.56,41798.02,41798.02,0,0,0,31380316,18488692,22123960,16379900,48,0,1.011,15.269,4.293,-1,-1,1,1.011,0,0,0,40342,33473,0,6,1,0,33562,3,1695,0.42,0.58,0,throughput_performance,net stress
0.75,0,0.45,0,3.46,0.65,0,0,5.31,5.32,0,0,0,0,0,0,0,0,0,0,0,0,1222446.39,1222446.39,36194,36194,0,0,0,31380316,18489800,22125112,16379900,20,0,0.854,6.388,2.536,-1,-1,1,0.854,0,0,0,39785,15158,0,5,2,0,15147,1,1694,0.42,0.58,0,throughput_performance,net stress
0.96,0,0.46,0,3.45,0.35,0,0,5.22,5.22,0,0,0,0,0,0,0,0,0,0,0,0,1223477.65,1223477.65,42606,42606,0,0,0,31380316,18494452,22129772,16379900,52,0,0.845,14.491,3.841,-1,-1,1,0.845,0,0,0,39556,23044,0,5,2,27,23037,0,1693,0.42,0.58,0,throughput_performance,net stress
1.37,0,0.35,0.05,3.24,0.25,0,0,5.21,5.21,0,26,0,0.3,0,0,0,11.71,0,1.38,3,0.03,1222892.42,1222892.42,42385,42385,0,0,0,31380316,18491860,22127184,16379900,56,0,1.042,12.401,3.729,-1,-1,1,1.042,0,0,305,40412,23921,0,5,1,21,23886,0,1691,0.39,0.57,0,throughput_performance,net stress
0.56,0,0.45,0,3.18,0.25,0,0,4.44,4.43,0,0,0,0,0,0,0,0,0,0,0,0,1222919.45,1222919.45,42979,42979,0,0,0,31380316,18492796,22128132,16379900,4,0,0.92,4.874,1.792,-1,-1,1,0.92,0,0,0,39736,22735,0,5,1,0,22800,1,1694,0.39,0.57,0,throughput_performance,net stress
0.61,0,0.4,0,3.28,0.45,0,0,4.74,4.76,0,0,0,0,0,0,0,0,0,0,0,0,1222981.57,1222981.57,44213,44213,0,0,0,31380316,18502780,22138124,16379900,40,0,0.927,4.5,1.487,-1,-1,1,0.927,0,0,0,39414,23461,0,5,0,0,23378,0,1691,0.39,0.57,0,throughput_performance,net stress
0.91,0,0.71,0,3.33,0.25,0,0,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,1222948.06,1222948.06,44796,44796,0,0,0,31380316,18502100,22137436,16379900,48,0,0.998,9.542,3.019,-1,-1,1,0.998,0,0,0,40591,27940,0,5,1,27,27939,2,1693,0.39,0.57,0,throughput_performance,net stress
0.46,0,0.3,0.05,3.19,0.35,0,0,4.3,4.29,0,3,0,0.02,0,0,0,8.33,0,5,1.6,0.01,1222444.43,1222444.43,36156,36156,0,0,0,31380316,18502264,22137608,16379900,72,0,0.85,4.404,1.711,-1,-1,1,0.85,0,0,25,38924,12572,0,5,1,21,12545,3,1690,0.36,0.56,0,throughput_performance,net stress
0.3,0,0.25,0,3.44,0.46,0,0,4.45,4.46,0,0,0,0,0,0,0,0,0,0,0,0,1222537.95,1222537.95,35475,35475,0,0,0,31380316,18501952,22137296,16379900,4,0,0.847,5.152,2.049,-1,-1,1,0.847,0,0,0,39217,11018,0,4,1,0,10989,0,1690,0.36,0.56,0,throughput_performance,net stress
0.66,0,0.3,0,3.23,0.3,0,0,4.49,4.51,0,0,0,0,0,0,0,0,0,0,0,0,1222759.01,1222759.01,42351,42351,0,0,0,31380316,18505584,22140928,16379900,16,0,0.929,4.034,1.34,-1,-1,1,0.929,0,0,0,39867,20752,0,5,0,3,20742,2,1690,0.36,0.56,0,throughput_performance,net stress
