TCP_sent,TCP_recv,DISK_read,DISK_write,DISK_read_cnt,DISK_write_cnt
489,69632,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
692,141264,0,0,0,0
4884,16388,0,0,0,0
99,21504,0,0,0,0
0,17408,0,16896,0,3
0,0,0,0,0,0
693,210896,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
692,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
693,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
693,141264,0,0,0,0
378,32,0,57344,0,12
0,0,0,0,0,0
258,14368,0,0,0,0
0,8192,0,0,0,0
699,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,12288,0,4
0,0,0,502272,0,58
0,0,0,0,0,0
697,141264,0,0,0,0
0,0,0,163840,0,9
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,56832,0,11
697,141264,0,0,0,0
0,0,0,4096,0,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
697,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
703,141264,0,0,0,0
0,0,0,28672,0,6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
696,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
697,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
697,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
697,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
698,210896,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
378,32,0,0,0,0
955,225264,0,0,0,0
0,6144,0,0,0,0
0,0,0,98304,0,20
0,2048,0,0,0,0
0,0,0,0,0,0
697,141264,0,0,0,0
0,0,0,163840,0,9
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
696,141264,0,4096,0,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,4096,0,2
696,141264,0,0,0,0
0,0,0,589824,0,21
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
696,141264,0,4096,0,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
696,143312,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,19456,0,0,0,0
701,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1769,23554,0,0,0,0
2590,141296,0,0,0,0
0,0,0,0,0,0
6804,98337,0,0,0,0
624,43008,0,0,0,0
1105,43008,0,0,0,0
1278,184272,0,19968,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
695,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
328,69632,0,0,0,0
17,66536,0,0,0,0
378,32,0,0,0,0
258,14368,0,0,0,0
0,6144,0,0,0,0
700,174032,0,0,0,0
0,2048,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
26,38912,0,0,0,0
697,176080,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
696,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
697,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
698,141264,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
697,210896,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
