sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,procs
105983004.0,115020172.0,3992.0,7865.0,21951488.0,22209024.0,514.0,523.0,606231321.0,0.0,559078184.0,8722388566.0,101233599.0,1531205736.0,14
100693036.0,110216270.0,3802.0,7559.0,22039552.0,22087680.0,512.0,515.0,564049730.0,0.0,563986062.0,8125493413.0,87667480.0,1400158959.0,14
101749124.0,111140956.0,3842.0,7628.0,22332928.0,22345216.0,540.0,543.0,603460910.0,0.0,597058387.0,10516195007.0,105094182.0,1568281116.0,14
102812859.0,112613167.0,3879.0,7736.0,22253568.0,22259200.0,509.0,510.0,811122318.0,0.0,560997573.0,9610888912.0,136300374.0,1640017580.0,14
100199561.0,109846599.0,3787.0,7516.0,22002688.0,22002176.0,526.0,527.0,654374437.0,0.0,578257349.0,8424125739.0,134653292.0,1523405600.0,14
104104693.0,113379620.0,3927.0,7762.0,22635008.0,22573568.0,526.0,525.0,570255593.0,0.0,579915214.0,7242124366.0,150329248.0,1610687378.0,14
98535811.0,107576920.0,3716.0,7375.0,21952000.0,21956608.0,513.0,514.0,546556723.0,0.0,562567192.0,7838968517.0,151423068.0,1495587536.0,14
97477573.0,106223409.0,3676.0,7301.0,64473600.0,64418816.0,562.0,559.0,497652843.0,0.0,660729617.0,9602213511.0,157278942.0,1467978888.0,14
103974470.0,112964077.0,3922.0,7758.0,22401024.0,22406144.0,521.0,523.0,591356528.0,0.0,570953267.0,7837713059.0,190927708.0,1724483263.0,14
103074663.0,113003142.0,3898.0,7744.0,22651904.0,22650368.0,532.0,533.0,598580984.0,0.0,592298888.0,6346668452.0,198078368.0,1707107410.0,14
94228047.0,102752880.0,3560.0,7056.0,21077504.0,21084160.0,469.0,472.0,545631703.0,0.0,562886183.0,7244755763.0,202132356.0,1531998993.0,14
95128657.0,103463307.0,3594.0,7121.0,21539840.0,21633024.0,569.0,580.0,2509295999.0,0.0,582682465.0,6937141440.0,210379204.0,1604602656.0,14
95393772.0,104003280.0,3603.0,7154.0,21234688.0,21106688.0,482.0,483.0,646666611.0,0.0,569317076.0,7525502931.0,205766608.0,1601182060.0,14
95121913.0,103525486.0,3587.0,7120.0,20982272.0,20998656.0,469.0,473.0,1290443050.0,0.0,566527654.0,7540824219.0,237603518.0,1630770173.0,14
88763878.0,96111382.0,3341.0,6577.0,19466240.0,19601920.0,433.0,435.0,1078173945.0,0.0,525224718.0,7244229079.0,234086858.0,1487157780.0,14
92404745.0,100881057.0,3482.0,6937.0,57883136.0,57891840.0,533.0,533.0,6170436400.0,0.0,707672979.0,6938089457.0,258866164.0,1572484226.0,14
87444462.0,95872441.0,3305.0,6569.0,24048128.0,24042496.0,439.0,439.0,3989686050.0,0.0,524419258.0,7840940181.0,250837948.0,1523313133.0,14
96444936.0,105116640.0,3639.0,7230.0,20749312.0,20749312.0,475.0,476.0,3680160161.0,0.0,564452916.0,7831233481.0,289671958.0,1932291430.0,14
94263825.0,102880932.0,3559.0,7060.0,20976128.0,20979200.0,478.0,478.0,2652787101.0,0.0,571983150.0,8124541799.0,295262756.0,1712088577.0,14
29415551.0,32370948.0,1123.0,2238.0,10262528.0,10261504.0,164.0,163.0,906771112.0,0.0,195916343.0,7524336654.0,112399456.0,646773456.0,14
Concurrency: 14
Virtual Hosts: 5
Measurements: 5
Tag cardinalities: [100 8]
Points per series: 10000
Total series: 4000
Total points: 40000000
Total fields per point: 1
