sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
48714,97791760,353,6167,4667904,22257664,224,314,0.0,0.0,218839278,1099587,65571895,5903836
48438,98332065,351,6220,41489920,73043968,309,434,0.0,0.0,386064021,1100727,56571926,5100664
51612,108047709,374,6808,10647552,24190976,285,386,0.0,0.0,298924945,1102061,55939114,5084018
51198,104807551,371,6625,4045824,24141824,241,373,0.0,0.0,245313991,1103443,64107724,5764338
51612,106236394,374,6702,10616832,24150016,250,362,0.0,0.0,236422000,1104823,60146990,5397168
52440,108207885,383,6832,6242816,24576000,259,359,0.0,0.0,253738489,1106212,62055600,5551592
49956,103866764,365,6544,5649920,23633920,257,364,0.0,0.0,269128441,1107589,55856554,4999898
51474,105931079,370,6699,10322944,24141824,260,374,0.0,0.0,275432648,1108949,53026882,4749928
46230,97322373,338,6139,9400320,22421504,255,336,0.0,0.0,270152399,1110304,70391866,6324116
47472,97168826,343,6138,32685056,65810432,309,456,0.0,0.0,332821695,1111376,56882426,5034178
51474,105620087,376,6672,5214720,23924736,253,384,0.0,0.0,260336342,1112658,72911016,6527454
50370,106644879,367,6725,5570560,23977984,264,379,0.0,0.0,273271101,1114003,53988560,4778716
50094,104474094,363,6598,5781504,23851008,251,367,0.0,0.0,266006606,1115379,64243148,5726392
51060,106490396,372,6706,6211072,24080384,259,384,0.0,0.0,259487051,1116738,60331802,5347486
50922,105415544,370,6643,10860544,23994368,260,368,0.0,0.0,276225215,1118112,48043570,4295600
49680,103999775,364,6548,5934080,23633920,255,372,0.0,0.0,280292029,1119483,77959380,6961920
47610,96517254,345,6095,20641792,49037312,261,377,0.0,0.0,295136140,1120859,93821146,8357898
47196,96999167,344,6126,8308224,33632256,237,327,0.0,0.0,266714577,1120643,46807904,4166794
46230,93844320,341,5951,33161728,53334016,299,398,0.0,0.0,393052224,1123172,59053150,5230518
41262,87867316,304,5564,28826112,41242624,262,327,0.0,0.0,341726371,1123172,61247304,5454250
47472,96838357,346,6073,23359488,52998144,278,400,0.0,0.0,294754551,1125577,74107056,6584162
42918,88518928,310,5549,19869696,41848832,259,350,0.0,0.0,294065049,1125577,45614796,4054198
45954,95153000,334,6012,24001024,78827520,270,460,0.0,0.0,250911154,1128007,83594800,7522334
43332,88658132,315,5604,22012416,51458048,259,373,0.0,0.0,354086680,1130425,42931998,3797652
50922,103651142,364,6575,28541952,87515136,316,513,0.0,0.0,342209669,1131640,80209426,7204434
51750,106078994,372,6708,30496768,44896256,310,422,0.0,0.0,570720214,1131640,61447980,5490860
49266,102817110,356,6479,29349376,75902976,305,472,0.0,0.0,334512791,1132996,64939900,5794710
49680,103837186,360,6563,35435520,76214272,312,471,0.0,0.0,343884430,1134366,59942912,5343516
47196,98767897,340,6250,20690432,48652288,282,406,0.0,0.0,292888400,1135699,71503612,6418644
48576,98238069,355,6216,35872768,75313152,288,449,0.0,0.0,350673824,1137030,66080138,5935000
49266,101292210,357,6401,12588544,49303552,266,414,0.0,0.0,297855061,1138336,9219914,827942
49266,102073397,358,6453,60599808,110895104,339,534,0.0,0.0,512731595,1140739,3717928,346108
50646,106190415,368,6696,12045824,49938432,273,430,0.0,0.0,276532562,1142102,71737696,6399066
49680,102560158,360,6473,35076096,75927552,292,460,0.0,0.0,331949802,1143451,78255662,7005920
51750,105470943,379,6673,33705472,76550144,315,491,0.0,0.0,302557628,1144810,87012380,7764914
49542,105149416,357,6647,32719872,49782784,305,411,0.0,0.0,374951488,1146188,67577472,6025280
33672,66287591,245,4204,12815360,43683840,195,308,0.0,0.0,196588744,1147504,41203974,3656576
Concurrency: 14
Virtual Hosts: 5
Measurements: 5
Tag cardinalities: [100 14]
Points per series: 10000
Total series: 7000
Total points: 70000000
Total fields per point: 1
