sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
0.0,0.0,0.0,0.0,4706304,27107328,293,1443,0.0,0.0,45653739,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4019712,29331456,250,1393,0.0,0.0,20949710,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5632000,29974528,316,1429,0.0,0.0,10880482,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5447680,28467200,335,1389,0.0,0.0,12326602,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6782976,28008448,323,1452,0.0,0.0,63435409,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3170304,25452544,200,1385,0.0,0.0,8644927,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4804608,26648576,299,1449,0.0,0.0,7038632,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4378624,27185152,269,1465,0.0,0.0,3773404,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3524096,24870912,155,1300,0.0,0.0,55313678,0.0,0.0,0.0
TABLES: 10
TABLE_SIZE: 70000
