sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,procs
0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2567970337.0,0.0,0.0,7755285354.0,2084037099.0,2819468629.0,1,0,209408,104612,36,370848,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,835592.0,0.0,11.0,0.0,885815528.0,0.0,0.0,7452523931.0,758160786.0,1324147480.0,0,0,209408,103596,36,371756,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,90112.0,0.0,4.0,0.0,908979990.0,0.0,0.0,6866962508.0,752439588.0,1349405948.0,0,0,209408,102336,36,371844,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,904771326.0,0.0,0.0,8051125660.0,617341546.0,1206369922.0,0,0,209408,102228,36,371844,0,1,18,4,172,166,3,3,94,0,0,14
0.0,131072.0,0.0,2.0,4857856.0,204136448.0,50.0,1186.0,878516453.0,0.0,101901316.0,6864002160.0,871435440.0,1427260344.0,0,0,214272,120680,36,355764,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,887939409.0,0.0,0.0,5965126136.0,847979610.0,1595019856.0,0,0,214272,118996,36,355764,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895877469.0,0.0,0.0,5677703720.0,720990580.0,1373333654.0,1,0,214272,117864,36,355764,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,906215241.0,0.0,0.0,6558803581.0,590917668.0,1104884982.0,0,0,214272,117120,36,355764,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,139264.0,94720.0,11.0,10.0,916001623.0,0.0,9098863.0,5676822742.0,687878286.0,1272855882.0,0,0,214272,115008,36,358324,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,914619212.0,0.0,0.0,6263642740.0,643135076.0,1138277232.0,1,0,214272,115224,36,358324,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867871475.0,0.0,0.0,6864560048.0,830523380.0,1463751676.0,0,0,214272,114712,36,358324,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,902032415.0,0.0,0.0,6263735200.0,786508312.0,1498802316.0,1,0,214272,115232,36,358324,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881619977.0,0.0,0.0,6270268017.0,919098270.0,1521579668.0,0,0,214272,126880,36,358208,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,883516992.0,0.0,0.0,5668635995.0,785579070.0,1391067796.0,0,0,214272,122300,36,358208,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910209980.0,0.0,0.0,5083375804.0,698529650.0,1292119324.0,0,0,214272,121284,36,358208,0,1,18,4,172,166,3,3,94,0,0,14
0.0,0.0,0.0,0.0,1536008.0,0.0,156.0,0.0,8711908376.0,0.0,0.0,8042803556.0,2124160830.0,3506051558.0,1,0,214272,114880,36,359676,0,1,18,4,172,166,3,3,94,0,0,14
