CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
79.35,0.0,0.35,0.0,0.65,0.0,0.0,0.0,80.35,80.35,35.0,0.0,2.87,0.0,0.0,0.0,83.89,0.0,0.11,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380324.0,23848276.0,27328256.0,16379900.0,252.0,0.373,0.78,23.451,0.051,-1.0,-1.0,1.0,0.78,0.0,0.0,0.0,40540.0,3929.0,0.0,81.0,17.0,0.0,3799.0,17.0,944.0,0.08,0.17,0.0
79.98,0.0,0.15,0.0,0.65,0.0,0.0,0.0,80.78,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,1.0,1.0,0.0,0.0,0.0,31380324.0,23841976.0,27324800.0,16379900.0,252.0,0.199,0.769,14.297,0.031,-1.0,-1.0,1.0,0.769,0.0,0.0,0.0,39842.0,5750.0,0.0,81.0,16.0,0.0,5608.0,16.0,944.0,1.35,0.43,0.0
79.88,0.0,0.15,0.0,0.75,0.0,0.0,0.0,80.78,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.19,3.0,3.0,0.0,0.0,0.0,31380324.0,23843124.0,27325964.0,16379900.0,252.0,0.284,0.789,34.728,0.068,-1.0,-1.0,1.0,0.789,0.0,0.0,0.0,40254.0,2501.0,0.0,81.0,19.0,28.0,2564.0,16.0,945.0,1.35,0.43,0.0
79.64,0.0,0.05,0.0,0.7,0.0,0.0,0.0,80.39,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,1.35,10.0,11.0,0.04,0.0,0.0,31380324.0,23841240.0,27324092.0,16379900.0,252.0,0.144,0.822,34.461,0.016,-1.0,-1.0,1.0,0.822,0.0,0.0,0.0,39475.0,2197.0,0.0,81.0,16.0,20.0,2129.0,16.0,943.0,1.35,0.43,0.0
79.82,0.0,0.05,0.0,0.45,0.0,0.0,0.0,80.32,89.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,1.0,1.0,0.0,0.0,0.0,31380324.0,23839312.0,27322164.0,16379900.0,252.0,0.065,0.765,39.245,0.014,-1.0,-1.0,1.0,0.765,0.0,0.0,0.0,39214.0,1694.0,0.0,81.0,16.0,1.0,1679.0,16.0,943.0,1.35,0.43,0.0
79.77,0.0,0.05,0.05,0.55,0.0,0.0,0.0,80.37,80.35,9.0,0.0,0.04,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.1,0.01,0.0,0.17,0.0,1.0,0.0,0.0,0.0,31380324.0,23844756.0,27327612.0,16379900.0,252.0,0.09,0.766,37.823,0.016,-1.0,-1.0,1.0,0.766,0.0,0.0,0.0,39823.0,1839.0,0.0,81.0,16.0,0.0,1786.0,18.0,945.0,2.77,0.74,0.0
79.5,0.0,0.2,0.0,1.1,0.0,0.0,0.0,80.8,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,3.0,4.0,0.01,0.0,0.0,31380324.0,23854160.0,27337044.0,16379900.0,252.0,0.32,0.763,35.44,0.052,-1.0,-1.0,1.0,0.763,0.0,0.0,0.0,39461.0,2439.0,0.0,80.0,16.0,6.0,2333.0,16.0,943.0,2.77,0.74,0.0
79.6,0.0,0.05,0.0,0.6,0.05,0.0,0.0,80.3,80.25,0.0,1.0,0.0,0.02,0.0,50.0,0.0,24.0,0.0,9.0,0.9,0.01,0.05,0.06,1.0,1.0,0.0,0.0,0.0,31380324.0,23844968.0,27327852.0,16379900.0,260.0,0.102,0.76,32.912,0.012,-1.0,-1.0,1.0,0.76,0.0,0.0,0.0,39869.0,1563.0,0.0,81.0,16.0,2.0,1566.0,16.0,943.0,2.77,0.74,0.0
79.66,0.0,0.05,0.05,0.65,0.0,0.0,0.0,80.36,80.35,0.0,23.0,0.0,0.2,0.0,4.17,0.0,9.04,0.0,7.22,1.8,0.15,0.05,0.06,1.0,1.0,0.0,0.0,0.0,31380324.0,23848000.0,27330880.0,16379900.0,236.0,0.107,0.759,39.272,0.02,-1.0,-1.0,1.0,0.759,0.0,0.0,208.0,39544.0,1626.0,0.0,81.0,16.0,1.0,1608.0,16.0,943.0,3.83,0.99,0.0
79.57,0.0,0.1,0.0,0.75,0.0,0.0,0.0,80.42,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,4.0,3.0,0.0,0.0,0.0,31380324.0,23853320.0,27336212.0,16379900.0,236.0,0.112,0.76,33.187,0.039,-1.0,-1.0,1.0,0.76,0.0,0.0,0.0,40186.0,1784.0,0.0,81.0,18.0,6.0,1777.0,18.0,948.0,3.83,0.99,0.0
79.86,0.0,0.0,0.05,0.65,0.0,0.0,0.0,80.51,84.58,0.0,17.0,0.0,0.18,0.0,0.0,0.0,10.94,0.0,1.88,3.1,0.03,4.84,1.27,10.0,10.0,0.04,0.0,0.0,31380324.0,23852992.0,27335876.0,16379900.0,236.0,0.152,0.76,44.04,0.043,-1.0,-1.0,1.0,0.76,0.0,0.0,186.0,39519.0,1805.0,0.0,81.0,16.0,1.0,1806.0,16.0,943.0,3.83,0.99,0.0
79.63,0.0,0.05,0.0,0.65,0.0,0.0,0.0,80.33,80.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,1.0,2.0,0.0,0.0,0.0,31380324.0,23833128.0,27316048.0,16379900.0,212.0,0.114,0.76,28.094,0.016,-1.0,-1.0,1.0,0.76,0.0,0.0,0.0,39308.0,1703.0,0.0,81.0,16.0,1.0,1607.0,16.0,943.0,3.83,0.99,0.0
79.77,0.0,0.05,0.0,0.5,0.0,0.0,0.0,80.32,80.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.0,0.0,0.0,0.0,31380324.0,23837548.0,27320480.0,16379900.0,216.0,0.108,0.761,30.437,0.013,-1.0,-1.0,1.0,0.761,0.0,0.0,0.0,39756.0,1632.0,0.0,80.0,16.0,0.0,1567.0,18.0,945.0,4.8,1.24,0.0
79.38,0.0,0.25,0.05,1.05,0.05,0.0,0.0,80.73,80.8,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,1.0,0.01,0.22,0.42,3.0,5.0,0.0,0.0,0.0,31380324.0,23838196.0,27321160.0,16379900.0,224.0,0.24,0.762,40.886,0.053,-1.0,-1.0,1.0,0.762,0.0,0.0,0.0,39368.0,2591.0,0.0,80.0,16.0,6.0,2583.0,17.0,943.0,4.8,1.24,0.0
79.58,0.0,0.05,0.05,0.65,0.05,0.0,0.0,80.33,84.58,0.0,7.0,0.0,0.04,0.0,12.5,0.0,5.14,0.0,5.0,0.9,0.03,0.1,0.06,2.0,1.0,0.0,0.0,0.0,31380324.0,23839364.0,27322348.0,16379900.0,232.0,0.094,0.761,38.523,0.016,-1.0,-1.0,1.0,0.761,0.0,0.0,36.0,40400.0,2069.0,0.0,81.0,16.0,2.0,2036.0,16.0,943.0,4.8,1.24,0.0
