CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
1.77,0.0,0.46,0.0,3.65,0.15,0.0,0.0,6.03,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124016.11,1124016.11,36225.0,36225.0,0.0,0.0,0.0,31380324.0,23613376.0,27151076.0,16379900.0,88.0,1.047,1.133,14.967,3.529,-1.0,-1.0,1.0,1.133,0.0,0.0,0.0,39735.0,18646.0,0.0,6.0,1.0,9.0,18809.0,1.0,936.0,0.31,0.19,0.0
0.56,0.0,0.25,0.0,3.64,0.1,0.0,0.0,4.55,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222879.55,1222879.55,42202.0,42202.0,0.0,0.0,0.0,31380324.0,23609652.0,27147404.0,16379900.0,92.0,0.193,0.783,3.408,1.597,-1.0,-1.0,1.0,0.783,0.0,0.0,0.0,39620.0,21453.0,0.0,5.0,0.0,0.0,21425.0,0.0,933.0,0.31,0.19,0.0
0.2,0.0,0.15,0.0,3.56,0.2,0.0,0.0,4.11,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222972.86,1222972.86,46562.0,46562.0,0.0,0.0,0.0,31380324.0,23608932.0,27146700.0,16379900.0,92.0,0.126,0.698,4.792,0.991,-1.0,-1.0,1.0,0.698,0.0,0.0,0.0,36033.0,33191.0,0.0,4.0,1.0,0.0,33186.0,0.0,933.0,0.31,0.19,0.0
0.51,0.0,0.2,0.0,3.54,0.2,0.0,0.0,4.45,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222310.77,1222310.77,33524.0,33524.0,0.0,0.0,0.0,31380324.0,23620480.0,27158272.0,16379900.0,92.0,0.286,0.77,6.904,2.967,-1.0,-1.0,1.0,0.77,0.0,0.0,0.0,37342.0,7430.0,0.0,5.0,1.0,10.0,7317.0,2.0,937.0,0.29,0.19,0.0
0.35,0.0,0.1,0.0,3.54,0.2,0.0,0.0,4.19,4.22,0.0,6.0,0.0,0.04,0.0,0.0,0.0,6.17,0.0,2.67,1.7,0.01,1222836.77,1222836.77,41357.0,41357.0,0.0,0.0,0.0,31380324.0,23609792.0,27147616.0,16379900.0,92.0,0.136,0.773,2.912,1.303,-1.0,-1.0,1.0,0.773,0.0,0.0,15.0,37250.0,16519.0,0.0,4.0,3.0,0.0,16473.0,0.0,935.0,0.29,0.19,0.0
0.35,0.0,0.2,0.0,3.58,0.15,0.0,0.0,4.28,4.3,0.0,3.0,0.0,0.02,0.0,25.0,0.0,5.33,0.0,8.67,0.9,0.02,1222877.63,1222877.63,42166.0,42166.0,0.0,0.0,0.0,31380324.0,23607872.0,27145704.0,16379900.0,96.0,0.109,0.771,2.113,0.976,-1.0,-1.0,1.0,0.771,0.0,0.0,16.0,36508.0,17587.0,0.0,4.0,1.0,0.0,17600.0,1.0,937.0,0.29,0.19,0.0
0.2,0.0,0.1,0.0,3.45,0.15,0.0,0.0,3.9,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222671.73,1222671.73,40632.0,40632.0,0.0,0.0,0.0,31380324.0,23607392.0,27145224.0,16379900.0,264.0,0.09,0.764,2.407,1.099,-1.0,-1.0,1.0,0.764,0.0,0.0,0.0,36587.0,16256.0,0.0,4.0,0.0,0.0,16246.0,0.0,932.0,0.29,0.19,0.0
0.41,0.0,0.3,0.0,3.55,0.1,0.0,0.0,4.36,4.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222781.58,1222781.58,37756.0,37756.0,0.0,0.0,0.0,31380324.0,23617504.0,27155392.0,16379900.0,268.0,0.18,0.779,8.662,2.445,-1.0,-1.0,1.0,0.779,0.0,0.0,0.0,36680.0,13466.0,0.0,4.0,3.0,15.0,13461.0,2.0,933.0,0.27,0.18,0.0
0.41,0.0,0.2,0.0,3.35,0.2,0.0,0.0,4.16,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222362.74,1222362.74,37068.0,37068.0,0.0,0.0,0.0,31380324.0,23616704.0,27154608.0,16379900.0,272.0,0.174,0.757,3.128,1.369,-1.0,-1.0,1.0,0.757,0.0,0.0,0.0,36069.0,10937.0,0.0,4.0,0.0,1.0,10929.0,0.0,932.0,0.27,0.18,0.0
0.25,0.0,0.05,0.0,3.65,0.15,0.0,0.0,4.1,4.11,0.0,5.0,0.0,0.05,0.0,0.0,0.0,10.4,0.0,1.6,0.2,0.01,1222728.99,1222728.99,39237.0,39237.0,0.0,0.0,0.0,31380324.0,23604248.0,27142152.0,16379900.0,192.0,0.109,0.776,2.867,1.284,-1.0,-1.0,1.0,0.776,0.0,0.0,52.0,37724.0,13848.0,0.0,4.0,0.0,1.0,13832.0,0.0,932.0,0.27,0.18,0.0
0.51,0.0,0.05,0.0,3.76,0.25,0.0,0.0,4.57,4.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223262.12,1223262.12,47217.0,47217.0,0.0,0.0,0.0,31380324.0,23606880.0,27144784.0,16379900.0,228.0,0.193,0.719,20.324,1.35,-1.0,-1.0,1.0,0.719,0.0,0.0,0.0,36206.0,36327.0,0.0,4.0,0.0,24.0,36348.0,1.0,935.0,0.27,0.18,0.0
0.25,0.0,0.15,0.0,3.54,0.2,0.0,0.0,4.14,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222777.25,1222777.25,42710.0,42710.0,0.0,0.0,0.0,31380324.0,23604556.0,27142468.0,16379900.0,240.0,0.205,0.775,4.191,1.865,-1.0,-1.0,1.0,0.775,0.0,0.0,0.0,37297.0,19559.0,0.0,4.0,1.0,22.0,19572.0,0.0,935.0,0.33,0.2,0.0
0.3,0.0,0.25,0.0,3.53,0.1,0.0,0.0,4.18,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222851.3,1222851.3,41647.0,41647.0,0.0,0.0,0.0,31380324.0,23617784.0,27155696.0,16379900.0,240.0,0.136,0.782,2.732,1.193,-1.0,-1.0,1.0,0.782,0.0,0.0,0.0,36947.0,17265.0,0.0,4.0,1.0,0.0,17264.0,1.0,932.0,0.33,0.2,0.0
0.3,0.0,0.15,0.0,3.88,0.25,0.0,0.0,4.58,4.6,0.0,3.0,0.0,0.02,0.0,25.0,0.0,5.33,0.0,9.0,1.0,0.02,1222649.26,1222649.26,37669.0,37669.0,0.0,0.0,0.0,31380324.0,23614880.0,27152780.0,16379900.0,268.0,0.081,0.76,2.053,0.911,-1.0,-1.0,1.0,0.76,0.0,0.0,16.0,37036.0,13082.0,0.0,4.0,0.0,0.0,13080.0,1.0,932.0,0.33,0.2,0.0
0.35,0.0,0.25,0.0,3.8,0.1,0.0,0.0,4.5,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222508.26,1222508.26,37413.0,37413.0,0.0,0.0,0.0,31380324.0,23616604.0,27154504.0,16379900.0,252.0,0.282,0.74,3.979,1.62,-1.0,-1.0,1.0,0.74,0.0,0.0,0.0,40150.0,14996.0,0.0,4.0,1.0,28.0,14888.0,2.0,935.0,0.33,0.2,0.0
0.25,0.0,0.05,0.0,3.56,0.1,0.0,0.0,3.96,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222909.07,1222909.07,45302.0,45302.0,0.0,0.0,0.0,31380324.0,23616520.0,27154456.0,16379900.0,256.0,0.139,0.736,7.534,1.704,-1.0,-1.0,1.0,0.736,0.0,0.0,0.0,37487.0,26524.0,0.0,4.0,2.0,22.0,26534.0,1.0,932.0,0.38,0.21,0.0
0.25,0.0,0.3,0.0,3.75,0.25,0.0,0.0,4.55,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223085.17,1223085.17,46253.0,46253.0,0.0,0.0,0.0,31380324.0,23618376.0,27156312.0,16379900.0,256.0,0.154,0.661,2.585,0.929,-1.0,-1.0,1.0,0.661,0.0,0.0,0.0,37622.0,26194.0,0.0,4.0,0.0,0.0,26128.0,1.0,934.0,0.38,0.21,0.0
0.2,0.0,0.15,0.0,3.64,0.15,0.0,0.0,4.14,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222604.73,1222604.73,36790.0,36790.0,0.0,0.0,0.0,31380324.0,23618968.0,27156904.0,16379900.0,256.0,0.134,0.721,2.65,1.081,-1.0,-1.0,1.0,0.721,0.0,0.0,0.0,39110.0,10750.0,0.0,4.0,0.0,1.0,10752.0,0.0,931.0,0.38,0.21,0.0
0.61,0.0,0.3,0.0,3.49,0.15,0.0,0.0,4.55,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222670.29,1222670.29,38083.0,38083.0,0.0,0.0,0.0,31380324.0,23618880.0,27156832.0,16379900.0,256.0,0.267,0.75,9.829,2.308,-1.0,-1.0,1.0,0.75,0.0,0.0,0.0,36764.0,14764.0,0.0,4.0,1.0,29.0,14774.0,1.0,939.0,0.35,0.21,0.0
0.35,0.0,0.15,0.0,3.59,0.15,0.0,0.0,4.24,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222814.12,1222814.12,40903.0,40903.0,0.0,0.0,0.0,31380324.0,23613796.0,27151768.0,16379900.0,256.0,0.144,0.783,3.081,1.321,-1.0,-1.0,1.0,0.783,0.0,0.0,0.0,37077.0,16845.0,0.0,4.0,1.0,22.0,16850.0,0.0,936.0,0.35,0.21,0.0
0.3,0.0,0.05,0.0,3.9,0.25,0.0,0.0,4.5,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223018.39,1223018.39,44938.0,44938.0,0.0,0.0,0.0,31380324.0,23616064.0,27154036.0,16379900.0,268.0,0.114,0.704,12.705,1.139,-1.0,-1.0,1.0,0.704,0.0,0.0,0.0,39591.0,25846.0,0.0,4.0,1.0,0.0,25881.0,2.0,933.0,0.35,0.21,0.0
0.25,0.0,0.25,0.0,3.7,0.35,0.0,0.0,4.55,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222997.84,1222997.84,47054.0,47054.0,0.0,0.0,0.0,31380324.0,23615040.0,27153012.0,16379900.0,268.0,0.131,0.716,6.977,1.311,-1.0,-1.0,1.0,0.716,0.0,0.0,0.0,36461.0,35624.0,0.0,4.0,1.0,0.0,35567.0,4.0,934.0,0.35,0.21,0.0
0.71,0.0,0.25,0.0,3.43,0.15,0.0,0.0,4.54,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222882.55,1222882.55,42263.0,42263.0,0.0,0.0,0.0,31380324.0,23615160.0,27153132.0,16379900.0,268.0,0.294,0.893,6.472,2.395,-1.0,-1.0,1.0,0.893,0.0,0.0,0.0,37477.0,18056.0,0.0,5.0,2.0,28.0,17995.0,0.0,933.0,0.32,0.2,0.0
0.36,0.0,0.15,0.0,3.86,0.15,0.0,0.0,4.52,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223038.07,1223038.07,45324.0,45324.0,0.0,0.0,0.0,31380324.0,23609804.0,27147776.0,16379900.0,268.0,0.174,0.757,8.307,1.406,-1.0,-1.0,1.0,0.757,0.0,0.0,0.0,38998.0,29856.0,0.0,4.0,3.0,22.0,29854.0,3.0,934.0,0.32,0.2,0.0
0.25,0.0,0.1,0.0,3.76,0.2,0.0,0.0,4.31,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223201.13,1223201.13,46016.0,46016.0,0.0,0.0,0.0,31380324.0,23598480.0,27136460.0,16379900.0,272.0,0.097,0.696,3.209,1.234,-1.0,-1.0,1.0,0.696,0.0,0.0,0.0,37322.0,23610.0,0.0,4.0,1.0,0.0,23640.0,1.0,934.0,0.32,0.2,0.0
0.31,0.0,0.1,0.0,3.56,0.2,0.0,0.0,4.17,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223110.31,1223110.31,46746.0,46746.0,0.0,0.0,0.0,31380324.0,23599672.0,27137664.0,16379900.0,0.0,0.157,0.671,2.387,0.851,-1.0,-1.0,1.0,0.671,0.0,0.0,0.0,37682.0,27626.0,0.0,4.0,1.0,0.0,27590.0,0.0,931.0,0.32,0.2,0.0
0.5,0.0,0.25,0.0,3.53,0.2,0.0,0.0,4.48,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222695.39,1222695.39,41098.0,41098.0,0.0,0.0,0.0,31380324.0,23598812.0,27136804.0,16379900.0,8.0,0.232,0.811,4.718,1.776,-1.0,-1.0,1.0,0.811,0.0,0.0,0.0,38636.0,15851.0,0.0,4.0,1.0,28.0,15822.0,1.0,939.0,0.29,0.2,0.0
0.36,0.0,0.15,0.05,3.66,0.2,0.0,0.0,4.37,4.4,0.0,25.0,0.0,0.27,0.0,3.85,0.0,11.22,0.0,5.8,1.5,0.13,1223728.83,1223728.83,46256.0,46256.0,0.0,0.0,0.0,31380324.0,23612460.0,27150468.0,16379900.0,12.0,0.194,0.69,3.574,1.321,-1.0,-1.0,1.0,0.69,0.0,0.0,280.0,36873.0,25350.0,0.0,4.0,0.0,0.0,25220.0,0.0,931.0,0.29,0.2,0.0
0.35,0.0,0.15,0.0,3.64,0.1,0.0,0.0,4.24,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222761.51,1222761.51,42400.0,42400.0,0.0,0.0,0.0,31380324.0,23611364.0,27149372.0,16379900.0,352.0,0.122,0.796,2.952,1.24,-1.0,-1.0,1.0,0.796,0.0,0.0,0.0,37563.0,18035.0,0.0,4.0,0.0,0.0,17976.0,0.0,932.0,0.29,0.2,0.0
0.3,0.0,0.15,0.0,3.6,0.15,0.0,0.0,4.2,4.22,0.0,8.0,0.0,0.35,0.0,0.0,0.0,44.5,0.0,4.5,0.9,0.03,1222508.0,1222508.0,33628.0,33628.0,0.0,0.0,0.0,31380324.0,23612088.0,27150100.0,16379900.0,356.0,0.129,0.733,3.571,1.641,-1.0,-1.0,1.0,0.733,0.0,0.0,356.0,37856.0,6351.0,0.0,4.0,0.0,0.0,6282.0,0.0,932.0,0.29,0.2,0.0
