CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
2.7,0.0,0.4,1.45,3.45,0.05,0.0,0.0,6.6,6.61,55.0,1061.0,3.98,37.39,0.0,0.0,74.04,36.08,0.11,1.47,94.5,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380320.0,26880108.0,28073176.0,16379900.0,40.0,0,1.828,27.479,2.304,-1.0,-1.0,1.0,1.828,0.0,0.0,38345.0,41390.0,15566.0,0.0,7.0,2.0,1.0,15494.0,1.0,776.0,0.13,0.25,0.0
2.4,0.0,0.45,0.7,3.45,0.1,0.0,0.0,6.4,6.42,2.0,1239.0,0.03,52.88,0.0,0.0,16.0,43.7,0.0,1.41,92.9,1.26,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26824852.0,28039972.0,16379900.0,0.0,0,1.872,21.241,1.811,-1.0,-1.0,1.0,1.872,0.0,0.0,54147.0,41807.0,21582.0,0.0,6.0,1.0,6.0,21549.0,2.0,780.0,0.13,0.25,0.0
1.65,0.0,0.3,0.9,3.46,0.05,0.0,0.0,5.46,5.47,0.0,1351.0,0.0,61.33,0.0,0.07,0.0,46.48,0.0,0.96,94.1,0.99,4.72,1.56,8.0,9.0,0.0,0.0,0.0,31380320.0,26783708.0,28027460.0,16379900.0,0.0,0,2.316,15.455,0.776,-1.0,-1.0,1.0,2.316,0.0,0.0,62293.0,37723.0,14881.0,0.0,6.0,1.0,0.0,14835.0,2.0,777.0,0.28,0.28,0.0
1.6,0.0,0.2,0.65,3.41,0.05,0.0,0.0,5.26,5.25,0.0,970.0,0.0,42.01,0.0,0.0,0.0,44.35,0.0,1.45,95.1,1.12,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26745836.0,28021496.0,16379900.0,28.0,0,2.29,15.662,0.855,-1.0,-1.0,1.0,2.29,0.0,0.0,43018.0,38449.0,12678.0,0.0,6.0,1.0,11.0,12633.0,1.0,778.0,0.28,0.28,0.0
1.81,0.0,0.25,0.8,3.41,0.1,0.0,0.0,5.57,5.58,0.0,1354.0,0.0,58.69,0.0,0.0,0.0,44.39,0.0,0.96,94.5,0.98,0.05,0.0,1.0,0.0,0.0,0.0,0.0,31380320.0,26704896.0,28009084.0,16379900.0,392.0,0,2.241,14.473,0.76,-1.0,-1.0,1.0,2.241,0.0,0.0,59458.0,40433.0,14017.0,0.0,6.0,2.0,0.0,13983.0,1.0,778.0,0.28,0.28,0.0
2.92,0.0,0.55,0.75,3.17,0.05,0.0,0.0,6.69,6.69,2.0,1424.0,0.03,61.88,0.0,0.0,16.0,44.5,0.5,0.94,93.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380320.0,26674664.0,28008192.0,16379900.0,196.0,0,1.823,20.617,1.923,-1.0,-1.0,1.0,1.823,0.0,0.0,63614.0,42598.0,29621.0,0.0,7.0,1.0,15.0,29602.0,0.0,775.0,0.28,0.28,0.0
2.21,0.0,0.3,1.86,3.41,0.05,0.0,0.0,5.97,5.98,0.0,1409.0,0.0,69.63,0.0,0.0,0.0,50.61,0.0,0.99,92.6,1.06,0.05,0.0,1.0,0.0,0.0,0.0,0.0,31380320.0,26620840.0,27984960.0,16379900.0,60.0,0,2.412,19.869,0.982,-1.0,-1.0,1.0,2.412,0.0,0.0,71805.0,40991.0,16508.0,0.0,6.0,1.0,2.0,16461.0,1.0,778.0,0.34,0.29,0.0
4.67,0.0,0.6,2.81,2.96,0.1,0.0,0.0,8.33,8.35,22.0,2518.0,0.34,110.08,0.0,0.0,16.0,44.77,0.09,1.09,91.5,1.97,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26569468.0,27955324.0,16379900.0,0.0,0,1.977,24.016,2.399,-1.0,-1.0,1.0,1.977,2.0,0.0,112511.0,43673.0,36176.0,0.0,9.0,3.0,0.0,36511.0,3.0,781.0,0.34,0.29,0.0
6.26,0.0,0.95,2.5,3.2,0.3,0.0,0.0,10.71,10.71,58.0,2135.0,0.91,95.46,0.0,0.0,16.0,45.79,0.09,0.89,92.6,1.3,0.1,0.21,2.0,2.0,0.0,0.0,0.0,31380320.0,26530112.0,27936288.0,16379900.0,312.0,0,1.743,27.198,3.323,-1.0,-1.0,1.0,1.743,1.0,0.0,98003.0,45169.0,42469.0,0.0,10.0,5.0,4.0,42436.0,5.0,780.0,0.34,0.29,0.0
3.88,0.0,0.65,2.27,3.22,0.0,0.0,0.0,7.75,7.76,302.0,1776.0,4.72,80.4,0.0,0.0,16.0,46.36,0.05,0.73,92.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380320.0,26482568.0,27909016.0,16379900.0,252.0,0,1.955,20.35,2.166,-1.0,-1.0,1.0,1.955,0.0,0.0,82321.0,43683.0,35326.0,0.0,8.0,2.0,6.0,35287.0,2.0,775.0,0.34,0.29,0.0
