TimeStamp,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
15:07:45,0.6,0.0,0.7,0.0,0.7,0.0,0.0,0.0,2.0,2.22,0.0,3.0,0.0,0.02,0.0,0.0,0.0,7.0,0.0,0.33,0.4,0.0,0.17,0.06,0.98,0.98,0.0,0.0,0.0,6814904.0,164784.0,1533904.0,409596.0,220.0,0.0,1.451,31.641,4.895,-1.0,-1.0,1.0,1.451,0.0,83200.0,21.0,1923.0,1637.0,0.0,2.0,2.0,1.98,1600.99,5.0,1189.0,0.88,1.0,0.0
15:07:46,0.0,0.0,0.3,0.1,0.9,0.0,0.0,0.0,1.2,1.33,0.0,3.0,0.0,0.01,0.0,0.0,0.0,4.0,0.0,1.33,0.2,0.0,0.12,0.13,2.0,1.0,0.0,0.0,0.0,6814904.0,146792.0,1515796.0,409596.0,324.0,0.0,0.446,27.333,20.56,-1.0,-1.0,1.0,0.446,0.0,83200.0,12.0,1293.0,1000.0,0.0,1.0,2.0,1.0,1005.0,2.0,1189.0,0.88,1.0,0.0
15:07:48,0.0,0.0,0.6,0.0,0.7,0.1,0.0,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6814904.0,155692.0,1524696.0,409596.0,312.0,0.0,0.287,32.067,43.433,-1.0,-1.0,1.0,0.287,0.0,83200.0,0.0,1338.0,1017.0,0.0,1.0,5.0,9.9,991.09,2.0,1183.0,0.88,1.0,0.0
15:07:49,0.1,0.0,0.3,0.0,0.89,0.2,0.0,0.0,1.49,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.49,6.0,7.0,0.0,0.0,0.0,6814904.0,155792.0,1524796.0,409596.0,312.0,0.0,0.253,32.167,49.699,-1.0,-1.0,1.0,0.253,0.0,83200.0,0.0,1366.0,1024.0,0.0,1.0,7.0,4.0,1006.0,1.0,1185.0,0.97,1.01,0.0
15:07:51,0.2,0.0,0.4,0.0,0.79,0.0,0.0,0.0,1.39,1.54,0.0,0.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,0.0,0.23,0.53,3.96,3.96,0.0,0.0,0.0,6814904.0,162212.0,1531216.0,409596.0,316.0,0.0,0.524,34.798,25.288,-1.0,-1.0,1.0,0.524,0.0,83200.0,0.0,1258.0,929.0,0.0,1.0,15.0,4.0,909.0,17.0,1193.0,0.97,1.01,0.0
15:07:52,0.2,0.0,0.3,0.0,0.9,0.0,0.0,0.0,1.4,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,4.75,10.89,7.92,0.0,0.0,0.0,6814904.0,166128.0,1535132.0,409596.0,316.0,0.0,0.342,31.392,35.94,-1.0,-1.0,1.0,0.342,0.0,83200.0,0.0,1328.0,1010.0,0.0,1.0,7.0,0.0,985.15,8.0,1192.0,0.97,1.01,0.0
15:07:54,0.1,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1.1,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.06,1.0,1.0,0.0,0.0,0.0,6814904.0,165168.0,1534172.0,409596.0,316.0,0.0,0.244,30.405,53.729,-1.0,-1.0,1.0,0.244,0.0,83200.0,0.0,1284.0,989.0,0.0,1.0,6.0,1.0,1054.0,1.0,1181.0,0.97,1.01,0.0
15:07:55,0.0,0.0,0.4,0.0,0.9,0.1,0.0,0.0,1.4,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.4,2.0,3.0,0.0,0.0,0.0,6814904.0,165024.0,1534036.0,409596.0,316.0,0.0,0.233,33.973,57.159,-1.0,-1.0,1.0,0.233,0.0,83200.0,0.0,1395.0,1094.0,0.0,1.0,1.0,3.96,1073.27,4.0,1183.0,0.97,1.01,0.0
15:07:57,0.1,0.0,0.2,0.0,0.8,0.0,0.0,0.0,1.1,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.99,0.0,0.0,0.0,6814904.0,164916.0,1533928.0,409596.0,352.0,0.0,0.24,32.003,53.687,-1.0,-1.0,1.0,0.24,0.0,83200.0,0.0,1253.0,971.0,0.0,1.0,4.0,0.0,932.0,4.0,1188.0,0.97,1.01,0.0
15:07:58,0.0,0.0,0.6,0.1,0.5,0.2,0.0,0.0,1.3,1.84,0.0,4.9,0.0,0.03,0.0,0.0,0.0,6.4,0.0,1.8,0.59,0.01,0.0,0.27,0.0,1.98,0.0,0.0,0.0,6814904.0,150992.0,1520004.0,409596.0,352.0,0.0,0.224,30.738,55.497,-1.0,-1.0,1.0,0.224,0.0,83200.0,1.0,1279.0,1001.0,0.0,1.0,3.0,1.98,974.26,3.0,1189.0,0.97,1.01,0.0
