CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
0.7,0,0.15,0.0,1.4,0.2,0,0,2.45,2.45,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.06,1,1,0.0,0,0,31380316,25862088,27252648,16379900,24,0.55,1.444,22.776,2.081,-1,-1,1,1.444,0,0,0,36588,4846,0,3,1,15.0,4810.0,1,804,0.02,0.12,0
0.6,0,0.3,0.0,1.35,0.15,0,0,2.4,2.4,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3,0.45,6,7,0.0,0,0,31380316,25857916,27248484,16379900,36,0.372,0.66,15.72,4.283,-1,-1,1,0.66,0,0,0,38060,7361,0,3,0,0.0,7208.0,0,804,0.02,0.12,0
0.05,0,0.15,0.0,1.4,0.2,0,0,1.8,1.8,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.77,1.42,11,12,0.04,0,0,31380316,25856764,27247332,16379900,36,0.09,0.648,25.584,3.136,-1,-1,1,0.648,0,0,0,37253,1759,0,2,0,0.0,1590.0,0,803,0.02,0.12,0
0.2,0,0.15,0.0,1.5,0.0,0,0,1.85,1.84,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,31380316,25870288,27260856,16379900,36,0.176,0.448,23.311,3.621,-1,-1,1,0.448,0,0,0,35675,1434,0,2,1,8.0,1356.0,3,807,0.02,0.12,0
0.05,0,0.2,0.0,1.3,0.2,0,0,1.75,1.75,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.19,4,3,0.0,0,0,31380316,25871088,27261656,16379900,36,0.25,0.642,25.981,3.61,-1,-1,1,0.642,0,0,0,36327,2083,0,2,1,6.0,2008.0,0,802,0.02,0.12,0
0.35,0,0.15,0.0,1.35,0.2,0,0,2.05,2.04,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.26,4,4,0.0,0,0,31380316,25866560,27257128,16379900,36,0.228,0.652,37.398,4.406,-1,-1,1,0.652,0,0,0,36856,1662,0,2,0,0.0,1608.0,0,805,0.02,0.12,0
0.05,0,0.1,0.0,1.36,0.05,0,0,1.56,1.55,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.13,2,2,0.0,0,0,31380316,25853988,27244556,16379900,36,0.108,0.441,12.48,1.559,-1,-1,1,0.441,0,0,0,35445,1159,0,2,1,0.0,1081.0,2,806,0.02,0.12,0
0.05,0,0.1,0.0,1.35,0.1,0,0,1.6,1.6,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.06,1,1,0.0,0,0,31380316,25855792,27246360,16379900,36,0.066,0.479,21.719,2.27,-1,-1,1,0.479,0,0,0,35499,1156,0,2,1,1.0,1136.0,0,802,0.02,0.12,0
0.25,0,0.15,0.0,1.6,0.2,0,0,2.2,2.2,0,1,0.0,0.01,0,50.0,0.0,8.0,0,9.0,0.9,0.01,0.05,0.06,1,1,0.0,0,0,31380316,25858872,27249456,16379900,36,0.556,0.613,36.944,7.258,-1,-1,1,0.613,0,0,8,35645,2034,0,2,0,6.0,1953.0,0,803,0.02,0.12,0
0.05,0,0.05,0.0,1.45,0.15,0,0,1.7,1.7,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.26,4,4,0.0,0,0,31380316,25861180,27251764,16379900,28,0.126,0.47,19.936,1.977,-1,-1,1,0.47,0,0,0,35992,1346,0,2,0,0.0,1308.0,0,805,0.02,0.11,0
