TimeStamp,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
23:34:51,7.63,0.0,0.7,0.0,3.37,0.2,0.0,0.0,11.9,11.9,0.0,579.0,0.0,7.59,0.0,0.0,0.0,13.42,0.0,1.73,100.1,0.82,10776.99,10776.99,873.0,873.0,0.0,0.0,0.0,31380324.0,23166060.0,26661784.0,16379900.0,64.0,3.498,1.707,35.282,4.017,-1.0,-1.0,1.0,1.707,0.0,0.0,7773.0,45686.0,29630.0,0.0,12.0,1.0,13.0,29271.0,5.0,1009.0,1.36,1.94,0.0
23:34:52,10.14,0.0,0.65,0.05,3.31,0.15,0.0,0.0,14.25,14.26,0.0,622.0,0.0,22.51,0.0,0.0,0.0,37.05,0.0,1.69,99.3,0.86,10332.68,10332.68,947.0,947.0,0.0,0.0,0.0,31380324.0,22964264.0,26468708.0,16379900.0,76.0,4.132,1.483,28.432,4.694,-1.0,-1.0,1.0,1.483,1.0,0.0,23138.0,46032.0,34955.0,0.0,14.0,2.0,0.0,34960.0,2.0,1008.0,1.36,1.94,0.0
23:34:53,6.85,0.0,0.5,0.0,3.4,0.25,0.0,0.0,11.0,10.99,0.0,571.0,0.0,7.59,0.0,0.0,0.0,13.62,0.0,1.74,99.7,0.81,10586.86,10586.86,911.0,911.0,0.0,0.0,0.0,31380324.0,22890024.0,26391100.0,16379900.0,76.0,2.519,1.746,30.54,3.11,-1.0,-1.0,1.0,1.746,0.0,0.0,7769.0,46732.0,27996.0,0.0,11.0,0.0,26.0,28039.0,0.0,1011.0,1.41,1.94,0.0
23:34:55,7.05,0.0,0.4,0.05,3.43,0.1,0.0,0.0,10.98,10.98,0.0,589.0,0.0,7.96,0.0,0.0,0.0,13.83,0.0,1.7,100.0,0.82,10646.69,10646.69,888.0,888.0,0.0,0.0,0.0,31380324.0,22956412.0,26465072.0,16379900.0,120.0,3.138,1.746,31.025,3.935,-1.0,-1.0,1.0,1.746,0.0,0.0,8021.0,45073.0,27997.0,0.0,11.0,3.0,6.0,27990.0,1.0,1012.0,1.41,1.94,0.0
23:34:56,6.06,0.0,0.5,0.05,3.41,0.35,0.0,0.0,10.32,10.31,0.0,586.0,0.0,7.81,0.0,0.0,0.0,13.64,0.0,1.71,100.2,0.82,10708.64,10708.64,835.0,835.0,0.0,0.0,0.0,31380324.0,22934380.0,26451680.0,16379900.0,12.0,2.384,1.559,28.253,3.971,-1.0,-1.0,1.0,1.559,0.0,0.0,7988.0,44756.0,26256.0,0.0,10.0,4.0,0.0,26235.0,3.0,1011.0,1.41,1.94,0.0
23:34:57,5.87,0.0,0.55,0.0,3.46,0.05,0.0,0.0,9.93,9.94,0.0,584.0,0.0,7.91,0.0,0.0,0.0,13.87,0.0,1.71,100.0,0.82,10712.18,10712.18,823.0,823.0,0.0,0.0,0.0,31380324.0,22889104.0,26396096.0,16379900.0,80.0,2.241,2.062,27.925,2.893,-1.0,-1.0,1.0,2.062,0.0,0.0,8108.0,45457.0,25913.0,0.0,10.0,22.0,0.0,25876.0,12.0,1012.0,1.41,1.94,0.0
23:34:58,5.81,0.0,0.5,0.0,3.46,0.2,0.0,0.0,9.97,9.97,0.0,578.0,0.0,7.65,0.0,0.0,0.0,13.56,0.0,1.72,99.9,0.82,10519.26,10519.26,824.0,824.0,0.0,0.0,0.0,31380324.0,22925396.0,26440808.0,16379900.0,80.0,2.388,1.896,30.093,3.192,-1.0,-1.0,1.0,1.896,0.0,0.0,7836.0,44262.0,25739.0,0.0,10.0,0.0,23.0,25740.0,2.0,1011.0,1.46,1.94,0.0
23:35:00,6.08,0.0,0.4,0.1,3.42,0.15,0.0,0.0,10.05,10.05,0.0,577.0,0.0,7.78,0.0,0.0,0.0,13.8,0.0,1.75,100.2,0.83,10709.63,10709.63,821.0,821.0,0.0,0.0,0.0,31380324.0,22919396.0,26442324.0,16379900.0,16.0,2.376,1.811,34.038,3.305,-1.0,-1.0,1.0,1.811,0.0,0.0,7954.0,44651.0,25979.0,0.0,10.0,0.0,6.0,25943.0,1.0,1010.0,1.46,1.94,0.0
23:35:01,8.94,0.0,0.35,0.0,3.13,0.15,0.0,0.0,12.57,12.57,0.0,596.0,0.0,15.18,0.0,0.0,0.0,26.08,0.0,1.71,99.3,0.84,10547.82,10547.82,931.0,931.0,0.0,0.0,0.0,31380324.0,22892360.0,26424584.0,16379900.0,104.0,3.998,1.735,29.167,3.242,-1.0,-1.0,1.0,1.735,0.0,0.0,15531.0,45880.0,30101.0,0.0,13.0,4.0,0.0,30057.0,7.0,1017.0,1.46,1.94,0.0
23:35:02,14.95,0.0,0.6,0.2,2.8,0.25,0.0,0.0,18.6,18.56,0.0,693.0,0.0,57.57,0.0,0.0,0.0,85.07,0.0,1.82,99.7,1.02,10459.66,10459.66,1034.0,1034.0,0.0,0.0,0.0,31380324.0,22891596.0,26425000.0,16379900.0,12172.0,4.599,2.374,28.244,2.114,-1.0,-1.0,1.0,2.374,0.0,0.0,58962.0,45531.0,28585.0,0.0,18.0,4.0,0.0,28563.0,4.0,1012.0,1.46,1.94,0.0
