TimeStamp,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
23:57:21,4.28,0.0,0.5,4.38,3.32,0.1,0.0,0.0,8.2,8.22,0.0,1696.0,0.0,6.43,0.0,0.0,0.0,3.89,0.0,0.57,99.8,0.39,0.05,0.13,1.0,2.0,0.0,0.0,0.0,31380324.0,7249648.0,26626604.0,16379900.0,0.0,0,1.867,11.589,4.785,-1.0,-1.0,1.0,1.867,1.0,0.0,6577.0,41326.0,29973.0,0.0,8.0,1.0,22.0,29934.0,1.0,1000.0,0.89,0.74,0.0
23:57:22,1.1,0.0,0.7,4.31,3.71,0.2,0.0,0.0,5.71,5.71,0.0,1721.0,0.0,6.5,0.0,0.0,0.0,3.87,0.0,0.57,99.9,0.38,4.84,1.21,10.0,9.0,0.04,0.0,0.0,31380324.0,7227716.0,26605220.0,16379900.0,428.0,0,1.113,17.256,2.997,-1.0,-1.0,1.0,1.113,0.0,0.0,6659.0,40964.0,29599.0,0.0,6.0,1.0,22.0,29528.0,1.0,998.0,0.89,0.74,0.0
23:57:23,1.8,0.0,0.5,4.4,3.65,0.15,0.0,0.0,6.1,6.08,0.0,1695.0,0.0,6.4,0.0,0.0,0.0,3.87,0.0,0.58,100.0,0.4,0.1,0.13,2.0,2.0,0.0,0.0,0.0,31380324.0,7227424.0,26604928.0,16379900.0,844.0,0,1.612,28.782,3.427,-1.0,-1.0,1.0,1.612,1.0,0.0,6555.0,41201.0,22266.0,0.0,6.0,0.0,0.0,22198.0,0.0,998.0,0.9,0.75,0.0
23:57:25,1.16,0.0,0.6,4.27,3.47,0.1,0.0,0.0,5.33,5.32,0.0,1725.0,0.0,6.6,0.0,0.0,0.0,3.92,0.0,0.57,100.1,0.39,0.1,0.13,2.0,2.0,0.0,0.0,0.0,31380324.0,7231596.0,26609404.0,16379900.0,764.0,0,1.165,16.845,2.902,-1.0,-1.0,1.0,1.165,1.0,0.0,6755.0,41661.0,35598.0,0.0,5.0,1.0,0.0,35598.0,1.0,996.0,0.9,0.75,0.0
23:57:26,0.6,0.0,0.4,4.36,3.66,0.1,0.0,0.0,4.76,4.76,0.0,1700.0,0.0,6.45,0.0,0.0,0.0,3.88,0.0,0.58,100.1,0.4,0.15,0.19,3.0,3.0,0.0,0.0,0.0,31380324.0,7246908.0,26624752.0,16379900.0,408.0,0,1.413,22.344,1.73,-1.0,-1.0,1.0,1.413,1.0,0.0,6633.0,38613.0,23126.0,0.0,5.0,1.0,22.0,22478.0,2.0,999.0,0.9,0.75,0.0
23:57:27,0.55,0.0,0.45,4.35,3.95,0.1,0.0,0.0,5.05,5.06,0.0,1675.0,0.0,6.35,0.0,0.0,0.0,3.88,0.0,0.58,99.9,0.39,0.15,0.19,3.0,3.0,0.0,0.0,0.0,31380324.0,7245228.0,26623072.0,16379900.0,220.0,0,1.528,26.68,1.764,-1.0,-1.0,1.0,1.528,1.0,0.0,6507.0,39242.0,22347.0,0.0,5.0,1.0,23.0,22360.0,1.0,995.0,0.9,0.75,0.0
23:57:28,0.6,0.0,0.25,4.42,3.61,0.2,0.0,0.0,4.66,4.66,0.0,1696.0,0.0,6.49,0.0,0.0,0.0,3.92,0.0,0.58,100.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380324.0,7235532.0,26613376.0,16379900.0,540.0,0,1.388,19.791,1.373,-1.0,-1.0,1.0,1.388,1.0,0.0,6630.0,38751.0,21596.0,0.0,5.0,0.0,0.0,21547.0,4.0,998.0,0.91,0.75,0.0
23:57:30,0.75,0.0,0.4,4.26,3.76,0.1,0.0,0.0,5.01,5.01,4.0,1773.0,0.06,7.13,0.0,0.67,16.0,4.12,0.25,0.56,99.9,0.4,0.32,0.51,5.0,6.0,0.0,0.0,0.0,31380324.0,7232216.0,26610060.0,16379900.0,320.0,0,1.357,27.783,2.268,-1.0,-1.0,1.0,1.357,1.0,0.0,7317.0,39555.0,23114.0,0.0,5.0,0.0,1.0,23114.0,0.0,995.0,0.91,0.75,0.0
23:57:31,0.4,0.0,0.55,4.31,3.71,0.25,0.0,0.0,4.91,4.9,0.0,1677.0,0.0,6.35,0.0,0.0,0.0,3.88,0.0,0.58,100.0,0.39,0.1,0.13,2.0,2.0,0.0,0.0,0.0,31380324.0,7236800.0,26614644.0,16379900.0,336.0,0,1.293,22.97,2.062,-1.0,-1.0,1.0,1.293,1.0,0.0,6500.0,39583.0,21417.0,0.0,5.0,2.0,0.0,21405.0,1.0,996.0,0.91,0.75,0.0
23:57:32,0.75,0.0,0.4,4.37,3.67,0.0,0.0,0.0,4.82,4.82,0.0,1725.0,0.0,6.57,0.0,0.0,0.0,3.9,0.0,0.57,100.3,0.4,4.85,1.29,10.0,10.0,0.04,0.0,0.0,31380324.0,7244708.0,26622552.0,16379900.0,672.0,0,1.225,27.955,2.58,-1.0,-1.0,1.0,1.225,1.0,0.0,6701.0,38856.0,21545.0,0.0,5.0,0.0,0.0,21570.0,2.0,999.0,0.91,0.75,0.0
