,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,index
count,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,centralized database
mean,3.6245882352941172,0.0,1.007411764705883,5.732705882352944,3.4002352941176435,0.16529411764705892,0.0,0.0,8.197529411764693,8.194235294117647,172.3934117647059,2950.7961176470594,2.6930588235294124,60.66447058823531,0.0,0.006,16.0,21.429764705882345,0.2163529411764704,1.384588235294117,99.22847058823531,3.171176470588233,0.6635294117647058,0.3975294117647058,3.447058823529412,3.6941176470588237,0.004705882352941179,0.0,0.0,31380316.0,21276377.505882353,24225092.611764707,16379900.0,384.6588235294118,0.0,1.0834352941176468,15.441870588235291,3.0414235294117664,-1.0,-1.0,1.0,1.0834352941176468,1.2823529411764707,0.0,62031.77647058824,47938.882352941175,93957.22352941177,0.0,8.435294117647059,1.6,2.623529411764706,93897.18270588235,1.3294117647058823,1456.5294117647059,2.3640000000000003,0.9552941176470582,0.0,centralized database
std,0.5074699879320395,0.0,0.19695710532019303,0.8848517209718748,0.12758687452109138,0.07604669013402295,0.0,0.0,0.5953049457911705,0.5938194484805281,60.42920955693993,374.3822170602653,0.9444750361310332,6.498425950712257,0.0,0.025298221281347063,0.0,4.2054494711276575,0.03585770168436659,0.19579384101592007,2.022391764831882,0.6723663346274179,1.479064286744878,0.7008665616117616,3.150149623652317,3.654789654651368,0.012249927847032634,0.0,0.0,0.0,74620.13932740845,30323.802891971343,0.0,338.1556623610083,0.0,0.28368059013039193,2.205084592458838,0.6106006980212885,0.0,0.0,0.0,0.28368059013039193,0.6261134451171899,0.0,6564.626506148425,2013.522799179216,20239.16177352758,0.0,0.8476524420434178,1.612634481369375,4.757174914823283,20230.765312109907,1.6066839394470573,6.583412131043966,0.9573034892349828,0.36941343359581336,0.0,centralized database
min,1.95,0.0,0.45,1.8,3.12,0.0,0.0,0.0,6.3,6.31,20.0,1282.0,0.31,44.8,0.0,0.0,16.0,18.66,0.08,0.72,90.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380316.0,21199224.0,24199924.0,16379900.0,0.0,0.0,0.925,12.436,0.931,-1.0,-1.0,1.0,0.925,0.0,0.0,45406.0,40856.0,13076.0,0.0,6.0,0.0,0.0,13048.0,0.0,1430.0,0.33,0.31,0.0,centralized database
25%,3.47,0.0,0.9,5.65,3.31,0.1,0.0,0.0,7.97,7.97,151.0,2878.0,2.36,56.93,0.0,0.0,16.0,20.2,0.21,1.29,99.6,2.9,0.05,0.06,1.0,1.0,0.0,0.0,0.0,31380316.0,21224108.0,24212868.0,16379900.0,36.0,0.0,0.984,14.028,2.797,-1.0,-1.0,1.0,0.984,1.0,0.0,58286.0,47429.0,96480.0,0.0,8.0,0.0,0.0,96418.0,0.0,1456.0,1.68,0.65,0.0,centralized database
50%,3.71,0.0,1.01,5.95,3.41,0.15,0.0,0.0,8.27,8.27,166.0,2996.0,2.59,60.77,0.0,0.0,16.0,20.49,0.22,1.42,99.7,3.28,0.15,0.19,3.0,2.0,0.0,0.0,0.0,31380316.0,21253140.0,24216796.0,16379900.0,372.0,0.0,1.019,15.198,3.134,-1.0,-1.0,1.0,1.019,1.0,0.0,62222.0,48143.0,99153.0,0.0,9.0,1.0,0.0,99134.0,1.0,1457.0,2.33,0.91,0.0,centralized database
75%,3.88,0.0,1.11,6.19,3.46,0.2,0.0,0.0,8.55,8.54,186.0,3197.0,2.91,64.6,0.0,0.0,16.0,20.84,0.24,1.5,99.9,3.58,0.26,0.38,5.0,5.0,0.0,0.0,0.0,31380316.0,21296844.0,24227272.0,16379900.0,680.0,0.0,1.043,16.121,3.312,-1.0,-1.0,1.0,1.043,2.0,0.0,66089.0,49201.0,102238.0,0.0,9.0,2.0,6.0,101773.0,2.0,1459.0,3.29,1.33,0.0,centralized database
max,5.06,0.0,1.5,6.83,3.81,0.35,0.0,0.0,9.77,9.78,510.0,3590.0,7.97,83.41,0.0,0.16,16.0,43.66,0.28,1.81,100.3,4.26,6.57,4.57,13.0,17.0,0.05,0.0,0.0,31380316.0,21601596.0,24368836.0,16379900.0,1304.0,0.0,2.375,22.991,4.701,-1.0,-1.0,1.0,2.375,2.0,0.0,85427.0,51504.0,109865.0,0.0,9.0,8.0,24.0,109852.0,8.0,1467.0,3.94,1.61,0.0,centralized database
count,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,cpustress
mean,69.80768456375844,0.0,0.10251677852349005,0.006543624161073829,0.7582214765100672,0.02013422818791943,0.0,0.0,70.68855704697985,71.31651006711411,0.0,1.1442953020134228,0.0,0.009127516778523486,0.0,0.09583892617449663,0.0,1.095469798657718,0.0,0.6588255033557046,0.19463087248322147,0.003154362416107384,1.1945637583892625,0.44567114093959725,4.5369127516778525,4.4865771812080535,0.008825503355704697,0.0,0.0,31380316.0,22418556.416107383,24878642.469798658,16379900.0,52.80536912751678,0.0,0.9509362416107385,22.505651006711414,0.0375704697986577,-1.0,-1.0,1.0,0.9509362416107385,0.0,0.0,12.610738255033556,39565.85906040268,3687.010067114094,0.0,71.02013422818791,14.526845637583893,1.1442953020134228,3659.3355704697988,14.610738255033556,1419.3758389261745,7.906744966442957,4.629295302013422,0.0,cpustress
