CPU.STAT.usr ,CPU.STAT.nice ,CPU.STAT.sys ,CPU.STAT.iowait ,CPU.STAT.irq ,CPU.STAT.soft ,CPU.STAT.steal ,CPU.STAT.guest ,CPU.STAT.util ,CPU.STAT.cutil ,STORAGE.STAT.rs ,STORAGE.STAT.ws ,STORAGE.STAT.rMBs ,STORAGE.STAT.wMBs ,STORAGE.STAT.rrqm ,STORAGE.STAT.wrqm ,STORAGE.STAT.rareq-sz ,STORAGE.STAT.wareq-sz ,STORAGE.STAT.r_await ,STORAGE.STAT.w_await ,STORAGE.STAT.util ,STORAGE.STAT.aqu-sz ,NET.STAT.rxkBs ,NET.STAT.txkBs ,NET.STAT.rxpcks ,NET.STAT.txpcks ,NET.STAT.ifutil ,NET.ESTAT.errs ,NET.ESTAT.util ,MEM.MEMINFO.MemTotal ,MEM.MEMINFO.MemFree ,MEM.MEMINFO.MemAvailable ,MEM.MEMINFO.SwapTotal ,MEM.MEMINFO.Dirty ,MEM.BANDWIDTH.Total_Util ,PERF.STAT.IPC ,PERF.STAT.CACHE-MISS-RATIO ,PERF.STAT.MPKI ,PERF.STAT.ITLB-LOAD-MISS-RATIO ,PERF.STAT.DTLB-LOAD-MISS-RATIO ,PERF.STAT.SBPI ,PERF.STAT.SBPC ,MEM.VMSTAT.procs.b ,MEM.VMSTAT.memory.swpd ,MEM.VMSTAT.io.bo ,MEM.VMSTAT.system.in ,MEM.VMSTAT.system.cs ,MEM.VMSTAT.util.swap ,MEM.VMSTAT.util.cpu ,MEM.VMSTAT.procs.r ,SYS.TASKS.procs ,SYS.TASKS.cswchs ,SYS.LDAVG.runq-sz ,SYS.LDAVG.plist-sz ,SYS.LDAVG.ldavg-1 ,SYS.LDAVG.ldavg-5 ,SYS.FDUTIL.fd-util ,workload.appname
       69.72 ,          0   ,        0.2  ,           0    ,        1.2  ,         0    ,             0 ,             0 ,        71.12 ,         71.29 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.15 ,          0.13 ,              3 ,              2 ,           0    ,             0 ,             0 ,            31380316 ,           22434980 ,                24893328 ,             16379900 ,               40 ,                       0 ,        0.809 ,                    29.614 ,         0.062 ,-1                             ,-1                             ,             1 ,         0.809 ,                 0 ,                     0 ,               0 ,               39081 ,                3276 ,                   0 ,                 71 ,                15 ,              1 ,            3111 ,               14 ,              1418 ,             3.72 ,             2.42 ,                 0 ,cpustress
       69.58 ,          0   ,        0.15 ,           0    ,        1.25 ,         0.05 ,             0 ,             0 ,        71.03 ,         71.1  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0    ,          0.06 ,              0 ,              1 ,           0    ,             0 ,             0 ,            31380316 ,           22430412 ,                24888820 ,             16379900 ,               44 ,                       0 ,        0.807 ,                    24.777 ,         0.033 ,-1                             ,-1                             ,             1 ,         0.807 ,                 0 ,                     0 ,               0 ,               39703 ,                3685 ,                   0 ,                 71 ,                14 ,              0 ,            3658 ,               15 ,              1418 ,             3.72 ,             2.42 ,                 0 ,cpustress
       69.52 ,          0   ,        0.15 ,           0    ,        1.3  ,         0    ,             0 ,             0 ,        70.97 ,         71    ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.52 ,          0.59 ,             10 ,              9 ,           0    ,             0 ,             0 ,            31380316 ,           22433428 ,                24891836 ,             16379900 ,               44 ,                       0 ,        0.807 ,                    35.273 ,         0.034 ,-1                             ,-1                             ,             1 ,         0.807 ,                 0 ,                     0 ,               0 ,               39572 ,                2230 ,                   0 ,                 71 ,                14 ,             20 ,            2203 ,               14 ,              1420 ,             4.55 ,             2.61 ,                 0 ,cpustress
       69.73 ,          0   ,        0.05 ,           0    ,        0.7  ,         0    ,             0 ,             0 ,        70.48 ,         70.5  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.43 ,          1.05 ,              7 ,              9 ,           0.01 ,             0 ,             0 ,            31380316 ,           22432464 ,                24890880 ,             16379900 ,               44 ,                       0 ,        1.08  ,                    37.605 ,         0.022 ,-1                             ,-1                             ,             1 ,         1.08  ,                 0 ,                     0 ,               0 ,               38926 ,                2475 ,                   0 ,                 71 ,                15 ,              1 ,            2400 ,               14 ,              1418 ,             4.55 ,             2.61 ,                 0 ,cpustress
       69.82 ,          0   ,        0.05 ,           0    ,        0.65 ,         0    ,             0 ,             0 ,        70.52 ,         70.5  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0    ,          0    ,              0 ,              0 ,           0    ,             0 ,             0 ,            31380316 ,           22442980 ,                24901416 ,             16379900 ,               48 ,                       0 ,        1.08  ,                    37.778 ,         0.017 ,-1                             ,-1                             ,             1 ,         1.08  ,                 0 ,                     0 ,               0 ,               39280 ,                1909 ,                   0 ,                 71 ,                15 ,              2 ,            1930 ,               14 ,              1420 ,             4.55 ,             2.61 ,                 0 ,cpustress
       69.6  ,          0   ,        0    ,           0    ,        0.75 ,         0.05 ,             0 ,             0 ,        70.4  ,         78.06 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0    ,          0.21 ,              0 ,              1 ,           0    ,             0 ,             0 ,            31380316 ,           22445940 ,                24904392 ,             16379900 ,               48 ,                       0 ,        1.08  ,                    32.251 ,         0.014 ,-1                             ,-1                             ,             1 ,         1.08  ,                 0 ,                     0 ,               0 ,               39496 ,                1994 ,                   0 ,                 71 ,                15 ,              1 ,            1971 ,               15 ,              1417 ,             4.55 ,             2.61 ,                 0 ,cpustress
       69.75 ,          0   ,        0.1  ,           0    ,        0.7  ,         0    ,             0 ,             0 ,        70.55 ,         70.55 ,              0 ,              8 ,             0    ,             0.07 ,                0 ,             0    ,                    0 ,                 9.31 ,                 0   ,                1.5  ,              1.3 ,               0.01 ,          0.2  ,          0.47 ,              4 ,              5 ,           0    ,             0 ,             0 ,            31380316 ,           22446884 ,                24905372 ,             16379900 ,              832 ,                       0 ,        1.079 ,                    36.092 ,         0.036 ,-1                             ,-1                             ,             1 ,         1.079 ,                 0 ,                     0 ,               0 ,               39278 ,                2548 ,                   0 ,                 71 ,                14 ,              6 ,            2472 ,               16 ,              1420 ,             5.38 ,             2.82 ,                 0 ,cpustress
       69.65 ,          0   ,        0    ,           0    ,        0.65 ,         0    ,             0 ,             0 ,        70.3  ,         74    ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.2  ,          0.47 ,              4 ,              5 ,           0    ,             0 ,             0 ,            31380316 ,           22444880 ,                24903376 ,             16379900 ,                4 ,                       0 ,        1.08  ,                    36.138 ,         0.014 ,-1                             ,-1                             ,             1 ,         1.08  ,                 0 ,                     0 ,               0 ,               38944 ,                1878 ,                   0 ,                 71 ,                14 ,              1 ,            1830 ,               14 ,              1417 ,             5.38 ,             2.82 ,                 0 ,cpustress
       69.58 ,          0   ,        0.05 ,           0    ,        0.8  ,         0.05 ,             0 ,             0 ,        70.48 ,         74.05 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0    ,          0    ,              0 ,              0 ,           0    ,             0 ,             0 ,            31380316 ,           22443344 ,                24901840 ,             16379900 ,                8 ,                       0 ,        1.08  ,                    28.531 ,         0.01  ,-1                             ,-1                             ,             1 ,         1.08  ,                 0 ,                     0 ,               0 ,               39015 ,                1728 ,                   0 ,                 71 ,                14 ,              1 ,            1663 ,               14 ,              1417 ,             5.38 ,             2.82 ,                 0 ,cpustress
       69.53 ,          0   ,        0    ,           0    ,        0.8  ,         0.1  ,             0 ,             0 ,        70.43 ,         74.05 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.1  ,          0.06 ,              2 ,              1 ,           0    ,             0 ,             0 ,            31380316 ,           22450128 ,                24908624 ,             16379900 ,                8 ,                       0 ,        1.08  ,                    37.082 ,         0.012 ,-1                             ,-1                             ,             1 ,         1.08  ,                 0 ,                     0 ,               0 ,               38863 ,                1654 ,                   0 ,                 71 ,                14 ,              0 ,            1669 ,               14 ,              1420 ,             6.07 ,             3.01 ,                 0 ,cpustress
