CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
5.34,0,5.79,0.05,2.99,0.15,0,0,14.27,14.28,23,0,2.36,0,0,0,104.87,0,0.13,0,0.3,0,0.15,0.19,3,3,0,0,0,31380324,22852448,26427708,16379900,104,60.326,0.656,80.057,58.07,-1,-1,1,0.656,0,0,0,37282,5050,0,14,3,18,5005,4,1140,0.5,0.35,0,memory stress
8,0,2.65,0.05,3,0.05,0,0,13.7,13.8,0,3,0,0.02,0,0,0,7.83,0,5,1.6,0.01,0,0,0,0,0,0,0,31380324,18811836,22386524,16379900,112,24.472,2.529,67.09,6.425,-1,-1,1,2.529,0,0,24,39933,6689,0,14,3,0,6590,2,1136,0.5,0.35,0,memory stress
5.89,0,4.49,0,2.84,0.1,0,0,13.32,13.99,0,5,0,0.03,0,0,0,5.6,0,7,0.8,0.03,0.3,0.26,6,4,0,0,0,31380324,12319472,15896220,16379900,92,26.198,2.33,70.941,8.545,-1,-1,1,2.33,0,0,0,37675,2144,0,13,2,27,2189,2,1138,0.5,0.35,0,memory stress
8.52,0,2.1,0,2.81,0.05,0,0,13.48,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.19,2,3,0,0,0,31380324,13754228,17330984,16379900,92,46.686,2.266,85.189,13.227,-1,-1,1,2.266,0,0,0,37271,2914,0,14,2,9,2923,2,1135,0.62,0.38,0,memory stress
7.67,0,2.51,0,2.86,0,0,0,13.04,14.45,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.13,2,2,0,0,0,31380324,20307796,23884572,16379900,96,11.704,2.689,75.009,3.118,-1,-1,1,2.689,0,0,0,39269,1413,0,13,2,0,1407,3,1136,0.62,0.38,0,memory stress
8.4,0,1.8,0,2.95,0.1,0,0,13.25,13.1,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0.5,47,5,0.03,0,0,31380324,14736832,18313104,16379900,100,13.806,2.851,68.026,3.482,-1,-1,1,2.851,0,0,0,37919,1630,0,13,2,0,1555,2,1135,0.62,0.38,0,memory stress
10.05,0,0.1,0,2.71,0,0,0,12.86,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.13,1,2,0,0,0,31380324,12400060,15976836,16379900,100,17.956,3.172,61.499,4.151,-1,-1,1,3.172,0,0,0,38285,1675,0,13,2,0,1682,2,1138,0.62,0.38,0,memory stress
10.25,0,0.2,0,2.95,0,0,0,13.4,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380324,12332616,15909392,16379900,100,18.504,3.135,61.359,4.175,-1,-1,1,3.135,0,0,0,38191,2254,0,13,3,6,2239,2,1135,0.73,0.4,0,memory stress
10.27,0,0.15,0.05,2.75,0.05,0,0,13.22,13.89,0,14,0,0.2,0,0,0,14.75,0,1.93,2.8,0.02,0,0,0,0,0,0,0,31380324,12329048,15905840,16379900,100,18.402,3.143,61.349,4.146,-1,-1,1,3.143,0,0,206,38549,1562,0,13,3,0,1466,2,1135,0.73,0.4,0,memory stress
10.08,0,0.05,0,2.71,0.15,0,0,12.99,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.12,2,2,0,0,0,31380324,12318620,15895432,16379900,100,18.364,3.165,61.373,4.138,-1,-1,1,3.165,0,0,0,37746,1521,0,13,2,0,1492,3,1135,0.73,0.4,0,memory stress
