CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
1.77,0,0.46,0,3.65,0.15,0,0,6.03,6.04,0,0,0,0,0,0,0,0,0,0,0,0,1124016.11,1124016.11,36225,36225,0,0,0,31380324,23613376,27151076,16379900,88,2.094,1.133,14.967,3.529,-1,-1,1,1.133,0,0,0,39735,18646,0,6,1,9,18809,1,936,0.31,0.19,0,net stress
0.56,0,0.25,0,3.64,0.1,0,0,4.55,4.54,0,0,0,0,0,0,0,0,0,0,0,0,1222879.55,1222879.55,42202,42202,0,0,0,31380324,23609652,27147404,16379900,92,0.386,0.783,3.408,1.597,-1,-1,1,0.783,0,0,0,39620,21453,0,5,0,0,21425,0,933,0.31,0.19,0,net stress
0.2,0,0.15,0,3.56,0.2,0,0,4.11,4.13,0,0,0,0,0,0,0,0,0,0,0,0,1222972.86,1222972.86,46562,46562,0,0,0,31380324,23608932,27146700,16379900,92,0.252,0.698,4.792,0.991,-1,-1,1,0.698,0,0,0,36033,33191,0,4,1,0,33186,0,933,0.31,0.19,0,net stress
0.51,0,0.2,0,3.54,0.2,0,0,4.45,4.46,0,0,0,0,0,0,0,0,0,0,0,0,1222310.77,1222310.77,33524,33524,0,0,0,31380324,23620480,27158272,16379900,92,0.572,0.77,6.904,2.967,-1,-1,1,0.77,0,0,0,37342,7430,0,5,1,10,7317,2,937,0.29,0.19,0,net stress
0.35,0,0.1,0,3.54,0.2,0,0,4.19,4.22,0,6,0,0.04,0,0,0,6.17,0,2.67,1.7,0.01,1222836.77,1222836.77,41357,41357,0,0,0,31380324,23609792,27147616,16379900,92,0.272,0.773,2.912,1.303,-1,-1,1,0.773,0,0,15,37250,16519,0,4,3,0,16473,0,935,0.29,0.19,0,net stress
0.35,0,0.2,0,3.58,0.15,0,0,4.28,4.3,0,3,0,0.02,0,25,0,5.33,0,8.67,0.9,0.02,1222877.63,1222877.63,42166,42166,0,0,0,31380324,23607872,27145704,16379900,96,0.218,0.771,2.113,0.976,-1,-1,1,0.771,0,0,16,36508,17587,0,4,1,0,17600,1,937,0.29,0.19,0,net stress
0.2,0,0.1,0,3.45,0.15,0,0,3.9,3.92,0,0,0,0,0,0,0,0,0,0,0,0,1222671.73,1222671.73,40632,40632,0,0,0,31380324,23607392,27145224,16379900,264,0.18,0.764,2.407,1.099,-1,-1,1,0.764,0,0,0,36587,16256,0,4,0,0,16246,0,932,0.29,0.19,0,net stress
0.41,0,0.3,0,3.55,0.1,0,0,4.36,4.37,0,0,0,0,0,0,0,0,0,0,0,0,1222781.58,1222781.58,37756,37756,0,0,0,31380324,23617504,27155392,16379900,268,0.36,0.779,8.662,2.445,-1,-1,1,0.779,0,0,0,36680,13466,0,4,3,15,13461,2,933,0.27,0.18,0,net stress
0.41,0,0.2,0,3.35,0.2,0,0,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,1222362.74,1222362.74,37068,37068,0,0,0,31380324,23616704,27154608,16379900,272,0.348,0.757,3.128,1.369,-1,-1,1,0.757,0,0,0,36069,10937,0,4,0,1,10929,0,932,0.27,0.18,0,net stress
0.25,0,0.05,0,3.65,0.15,0,0,4.1,4.11,0,5,0,0.05,0,0,0,10.4,0,1.6,0.2,0.01,1222728.99,1222728.99,39237,39237,0,0,0,31380324,23604248,27142152,16379900,192,0.218,0.776,2.867,1.284,-1,-1,1,0.776,0,0,52,37724,13848,0,4,0,1,13832,0,932,0.27,0.18,0,net stress
