CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
2.7,0,0.4,1.45,3.45,0.05,0,0,6.6,6.61,55,1061,3.98,37.39,0,0,74.04,36.08,0.11,1.47,94.5,1.27,0,0,0,0,0,0,0,31380320,26880108,28073176,16379900,40,2.136,1.828,27.479,2.304,-1,-1,1,1.828,0,0,38345,41390,15566,0,7,2,1,15494,1,776,0.13,0.25,0,centralized database
2.4,0,0.45,0.7,3.45,0.1,0,0,6.4,6.42,2,1239,0.03,52.88,0,0,16,43.7,0,1.41,92.9,1.26,0.05,0.11,1,1,0,0,0,31380320,26824852,28039972,16379900,0,1.452,1.872,21.241,1.811,-1,-1,1,1.872,0,0,54147,41807,21582,0,6,1,6,21549,2,780,0.13,0.25,0,centralized database
1.65,0,0.3,0.9,3.46,0.05,0,0,5.46,5.47,0,1351,0,61.33,0,0.07,0,46.48,0,0.96,94.1,0.99,4.72,1.56,8,9,0,0,0,31380320,26783708,28027460,16379900,0,0.686,2.316,15.455,0.776,-1,-1,1,2.316,0,0,62293,37723,14881,0,6,1,0,14835,2,777,0.28,0.28,0,centralized database
1.6,0,0.2,0.65,3.41,0.05,0,0,5.26,5.25,0,970,0,42.01,0,0,0,44.35,0,1.45,95.1,1.12,0.05,0.11,1,1,0,0,0,31380320,26745836,28021496,16379900,28,0.552,2.29,15.662,0.855,-1,-1,1,2.29,0,0,43018,38449,12678,0,6,1,11,12633,1,778,0.28,0.28,0,centralized database
1.81,0,0.25,0.8,3.41,0.1,0,0,5.57,5.58,0,1354,0,58.69,0,0,0,44.39,0,0.96,94.5,0.98,0.05,0,1,0,0,0,0,31380320,26704896,28009084,16379900,392,0.542,2.241,14.473,0.76,-1,-1,1,2.241,0,0,59458,40433,14017,0,6,2,0,13983,1,778,0.28,0.28,0,centralized database
2.92,0,0.55,0.75,3.17,0.05,0,0,6.69,6.69,2,1424,0.03,61.88,0,0,16,44.5,0.5,0.94,93,1.03,0,0,0,0,0,0,0,31380320,26674664,28008192,16379900,196,1.744,1.823,20.617,1.923,-1,-1,1,1.823,0,0,63614,42598,29621,0,7,1,15,29602,0,775,0.28,0.28,0,centralized database
2.21,0,0.3,1.86,3.41,0.05,0,0,5.97,5.98,0,1409,0,69.63,0,0,0,50.61,0,0.99,92.6,1.06,0.05,0,1,0,0,0,0,31380320,26620840,27984960,16379900,60,0.872,2.412,19.869,0.982,-1,-1,1,2.412,0,0,71805,40991,16508,0,6,1,2,16461,1,778,0.34,0.29,0,centralized database
4.67,0,0.6,2.81,2.96,0.1,0,0,8.33,8.35,22,2518,0.34,110.08,0,0,16,44.77,0.09,1.09,91.5,1.97,0.05,0.11,1,1,0,0,0,31380320,26569468,27955324,16379900,0,3.45,1.977,24.016,2.399,-1,-1,1,1.977,2,0,112511,43673,36176,0,9,3,0,36511,3,781,0.34,0.29,0,centralized database
6.26,0,0.95,2.5,3.2,0.3,0,0,10.71,10.71,58,2135,0.91,95.46,0,0,16,45.79,0.09,0.89,92.6,1.3,0.1,0.21,2,2,0,0,0,31380320,26530112,27936288,16379900,312,5.034,1.743,27.198,3.323,-1,-1,1,1.743,1,0,98003,45169,42469,0,10,5,4,42436,5,780,0.34,0.29,0,centralized database
3.88,0,0.65,2.27,3.22,0,0,0,7.75,7.76,302,1776,4.72,80.4,0,0,16,46.36,0.05,0.73,92.1,0.9,0,0,0,0,0,0,0,31380320,26482568,27909016,16379900,252,2.596,1.955,20.35,2.166,-1,-1,1,1.955,0,0,82321,43683,35326,0,8,2,6,35287,2,775,0.34,0.29,0,centralized database
3.32,0,0.35,2.61,3.42,0.05,0,0,7.14,7.13,0,2122,0,102.04,0,0,0,49.24,0,0.79,89.4,1.04,4.69,5.25,10,15,0,0,0,31380320,26466852,27910972,16379900,40,1.716,2.369,18.045,1.137,-1,-1,1,2.369,1,0,104482,42950,27593,0,7,2,0,27658,3,775,0.39,0.3,0,centralized database
3.61,0,0.5,2.16,3.36,0.15,0,0,7.62,7.62,29,1807,0.45,76.92,0,0,16,43.59,0.1,0.82,94.6,1.06,5.65,4.43,11,10,0,0,0,31380320,26448160,27913728,16379900,160,2.472,1.982,25.765,2.251,-1,-1,1,1.982,3,0,78449,42045,26199,0,8,1,0,25892,3,775,0.39,0.3,0,centralized database
11.52,0,0.8,2.45,2.75,0.05,0,0,15.12,15.13,9048,1038,141.48,37.81,0,0,16.01,37.3,0.09,0.9,61,0.63,0.05,0.11,1,1,0,0,0,31380320,26432080,27915224,16379900,0,3.53,2.096,24.223,1.037,-1,-1,1,2.096,1,0,38655,51830,41260,0,15,1,7,41198,2,777,0.39,0.3,0,centralized database
0.55,0,0.25,4.72,3.51,0.1,0,0,4.41,4.42,0,2018,0,23.24,0,4.27,0,11.79,0,0.61,99.8,0.69,0,0.11,0,1,0,0,0,31380320,26439124,27925052,16379900,44,0.736,0.791,14.707,2.908,-1,-1,1,0.791,1,0,23832,39623,12164,0,4,1,17,12048,2,778,0.44,0.32,0,centralized database
2.31,0,0.35,2.66,3.32,0,0,0,5.98,5.96,28,855,0.44,58.36,0,0,16,69.89,0.07,1.22,92.8,0.78,0.05,0.11,1,1,0,0,0,31380320,26435756,27921684,16379900,0,0.686,2.428,14.969,0.756,-1,-1,1,2.428,1,0,59843,40297,17823,0,6,2,0,17831,2,775,0.44,0.32,0,centralized database
3.27,0,0.35,2.81,3.17,0.1,0,0,6.89,6.9,8,2146,0.12,101.56,0,0,16,48.46,0,0.86,89,1.27,0.05,0.11,1,1,0,0,0,31380320,26439660,27943132,16379900,72,1.994,2.239,21.716,1.377,-1,-1,1,2.239,0,0,107588,39935,24172,0,7,3,1,24182,1,774,0.44,0.32,0,centralized database
2.56,0,0.3,2.16,3.46,0.15,0,0,6.47,6.48,13,1825,0.2,81.67,0,0,16,45.82,0.15,0.68,93.3,0.87,0.15,0.21,3,2,0,0,0,31380320,26418568,27944476,16379900,0,1.456,2.197,22.123,1.569,-1,-1,1,2.197,0,0,83741,40433,19980,0,7,2,0,20011,2,778,0.44,0.32,0,centralized database
3.9,0,0.5,2.8,3.3,0.05,0,0,7.75,7.73,34,2143,0.53,102.11,0,0,16,48.79,0.09,0.91,91.1,1.37,0,0,0,0,0,0,0,31380320,26400820,27944428,16379900,152,2.594,2.351,26.937,1.931,-1,-1,1,2.351,1,0,104563,40439,24481,0,8,2,17,24411,2,775,0.49,0.33,0,centralized database
