TimeStamp,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
23:34:51,7.63,0,0.7,0,3.37,0.2,0,0,11.9,11.9,0,579,0,7.59,0,0,0,13.42,0,1.73,100.1,0.82,10776.99,10776.99,873,873,0,0,0,31380324,23166060,26661784,16379900,64,6.996,1.707,35.282,4.017,-1,-1,1,1.707,0,0,7773,45686,29630,0,12,1,13,29271,5,1009,1.36,1.94,0,distributed databases
23:34:52,10.14,0,0.65,0.05,3.31,0.15,0,0,14.25,14.26,0,622,0,22.51,0,0,0,37.05,0,1.69,99.3,0.86,10332.68,10332.68,947,947,0,0,0,31380324,22964264,26468708,16379900,76,8.264,1.483,28.432,4.694,-1,-1,1,1.483,1,0,23138,46032,34955,0,14,2,0,34960,2,1008,1.36,1.94,0,distributed databases
23:34:53,6.85,0,0.5,0,3.4,0.25,0,0,11,10.99,0,571,0,7.59,0,0,0,13.62,0,1.74,99.7,0.81,10586.86,10586.86,911,911,0,0,0,31380324,22890024,26391100,16379900,76,5.038,1.746,30.54,3.11,-1,-1,1,1.746,0,0,7769,46732,27996,0,11,0,26,28039,0,1011,1.41,1.94,0,distributed databases
23:34:55,7.05,0,0.4,0.05,3.43,0.1,0,0,10.98,10.98,0,589,0,7.96,0,0,0,13.83,0,1.7,100,0.82,10646.69,10646.69,888,888,0,0,0,31380324,22956412,26465072,16379900,120,6.276,1.746,31.025,3.935,-1,-1,1,1.746,0,0,8021,45073,27997,0,11,3,6,27990,1,1012,1.41,1.94,0,distributed databases
23:34:56,6.06,0,0.5,0.05,3.41,0.35,0,0,10.32,10.31,0,586,0,7.81,0,0,0,13.64,0,1.71,100.2,0.82,10708.64,10708.64,835,835,0,0,0,31380324,22934380,26451680,16379900,12,4.768,1.559,28.253,3.971,-1,-1,1,1.559,0,0,7988,44756,26256,0,10,4,0,26235,3,1011,1.41,1.94,0,distributed databases
23:34:57,5.87,0,0.55,0,3.46,0.05,0,0,9.93,9.94,0,584,0,7.91,0,0,0,13.87,0,1.71,100,0.82,10712.18,10712.18,823,823,0,0,0,31380324,22889104,26396096,16379900,80,4.482,2.062,27.925,2.893,-1,-1,1,2.062,0,0,8108,45457,25913,0,10,22,0,25876,12,1012,1.41,1.94,0,distributed databases
23:34:58,5.81,0,0.5,0,3.46,0.2,0,0,9.97,9.97,0,578,0,7.65,0,0,0,13.56,0,1.72,99.9,0.82,10519.26,10519.26,824,824,0,0,0,31380324,22925396,26440808,16379900,80,4.776,1.896,30.093,3.192,-1,-1,1,1.896,0,0,7836,44262,25739,0,10,0,23,25740,2,1011,1.46,1.94,0,distributed databases
23:35:00,6.08,0,0.4,0.1,3.42,0.15,0,0,10.05,10.05,0,577,0,7.78,0,0,0,13.8,0,1.75,100.2,0.83,10709.63,10709.63,821,821,0,0,0,31380324,22919396,26442324,16379900,16,4.752,1.811,34.038,3.305,-1,-1,1,1.811,0,0,7954,44651,25979,0,10,0,6,25943,1,1010,1.46,1.94,0,distributed databases
23:35:01,8.94,0,0.35,0,3.13,0.15,0,0,12.57,12.57,0,596,0,15.18,0,0,0,26.08,0,1.71,99.3,0.84,10547.82,10547.82,931,931,0,0,0,31380324,22892360,26424584,16379900,104,7.996,1.735,29.167,3.242,-1,-1,1,1.735,0,0,15531,45880,30101,0,13,4,0,30057,7,1017,1.46,1.94,0,distributed databases
23:35:02,14.95,0,0.6,0.2,2.8,0.25,0,0,18.6,18.56,0,693,0,57.57,0,0,0,85.07,0,1.82,99.7,1.02,10459.66,10459.66,1034,1034,0,0,0,31380324,22891596,26425000,16379900,12172,9.198,2.374,28.244,2.114,-1,-1,1,2.374,0,0,58962,45531,28585,0,18,4,0,28563,4,1012,1.46,1.94,0,distributed databases
