CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
8.09,0,5.38,1.46,2.71,0.25,0,0,16.43,16.43,0,3813,0,1876.15,0,0,0,503.85,0,6.08,57.7,21.29,0.15,0.13,3,2,0,0,0,31380316,18816324,22452364,16379900,48,0,1.709,44.508,3.337,-1,-1,1,1.709,1,0,1966234,46480,209648,0,16,2,0,208963,4,1657,1.36,1.23,0,fileio stress
7.94,0,4.77,1.66,2.76,0.2,0,0,15.67,15.68,0,3948,0,1949.69,0,0,0,505.69,0,6.62,60.1,24.16,0.1,0.06,2,1,0,0,0,31380316,16259968,22438396,16379900,84,0,1.897,46.932,2.935,-1,-1,1,1.897,0,0,1966269,43877,154417,0,16,6,0,154747,6,1656,1.36,1.23,0,fileio stress
7.73,0,5.22,1.66,2.71,0.1,0,0,15.76,15.79,0,3906,0,1920.36,0,0,0,503.44,0,6.61,60.4,23.87,0.1,0.19,2,3,0,0,0,31380316,13659300,22434664,16379900,51040,0,1.924,44.732,2.771,-1,-1,1,1.924,0,0,1966449,43965,218618,0,16,6,1,218711,6,1653,1.36,1.23,0,fileio stress
8.12,0,5.17,1.6,2.71,0.25,0,0,16.25,16.17,0,3888,0,1920.33,0,0,0,505.77,0,6.65,58.8,23.91,0.48,0.25,3,4,0,0,0,31380316,11154340,22431352,16379900,8092,0,1.907,47.496,2.853,-1,-1,1,1.907,0,0,1966415,43326,211228,0,16,4,11,210979,7,1653,1.36,1.23,0,fileio stress
2.99,0,1.4,3.74,3.54,0.2,0,0,8.13,8.1,0,2080.2,0,346.92,0,0,0,170.77,0,2.7,92.08,4.79,0.15,0.19,3,3,0,0,0,31380316,8613824,22428448,16379900,644,0,1.43,31.071,3.418,-1,-1,1,1.43,0,0,333214,41442,48499,0,8,2,3,48525,2,1656,1.33,1.22,0,fileio stress
1.4,0,0.6,4.3,3.95,0.1,0,0,6.05,6.05,0,1715,0,6.41,0,0,0,3.83,0,0.57,100.1,0.39,0.05,0.13,1,2,0,0,0,31380316,8290308,22434452,16379900,784,0,1.301,27.87,3.93,-1,-1,1,1.301,1,0,6598,41657,25664,0,6,0,0,25654,2,1657,1.33,1.22,0,fileio stress
0.55,0,0.4,4.35,3.85,0.1,0,0,4.9,4.89,0,1761,0,7.02,0,0.51,0,4.08,0,0.56,100.1,0.38,3.37,0.71,6,7,0.03,0,0,31380316,8308864,22453008,16379900,988,0,1.336,26.126,2.351,-1,-1,1,1.336,1,0,7219,38838,22204,0,5,2,0,22161,1,1655,1.33,1.22,0,fileio stress
0.55,0,0.45,4.39,3.94,0.35,0,0,5.29,5.28,0,1711,0,6.48,0,0,0,3.88,0,0.57,100.1,0.39,0.1,0.06,2,1,0,0,0,31380316,8307376,22451520,16379900,696,0,1.362,23.133,2.016,-1,-1,1,1.362,1,0,6587,38323,21970,0,4,0,12,21959,1,1656,1.33,1.22,0,fileio stress
0.6,0.85,0.55,4.41,3.86,0.1,0,0,5.96,5.97,0,1686,0,6.34,0,0,0,3.85,0,0.58,100,0.38,23.93,6.12,58,62,0.2,0,0,31380316,8310944,22455088,16379900,904,0,1.505,26.235,2.414,-1,-1,1,1.505,1,0,6490,40828,24540,0,5,1,22,24575,1,1656,1.38,1.24,0,fileio stress
0.6,0,0.4,4.35,3.95,0.15,0,0,5.1,5.09,0,1691,0,6.38,0,0,0,3.87,0,0.57,99.5,0.38,0.36,0.59,6,9,0,0,0,31380316,8274152,22418304,16379900,1608,0,1.324,26.844,2.321,-1,-1,1,1.324,1,0,6552,39225,22089,0,5,0,2,22098,0,1654,1.38,1.24,0,fileio stress
0.6,0,0.4,4.36,3.96,0.15,0,0,5.11,5.1,0,1684,0,6.34,0,0,0,3.86,0,0.58,99.9,0.38,5.03,9.86,28,27,0.08,0,0,31380316,8270008,22414160,16379900,1640,0,1.311,25.805,2.293,-1,-1,1,1.311,1,0,6490,38615,22477,0,5,2,1,22408,2,1657,1.38,1.24,0,fileio stress
0.5,0,0.45,4.35,3.95,0.35,0,0,5.25,5.24,0,1701,0,6.49,0,0,0,3.91,0,0.58,100,0.39,2.23,2.05,12,12,0.02,0,0,31380316,8270796,22414952,16379900,1388,0,1.377,23.52,2.143,-1,-1,1,1.377,1,0,6648,39621,21946,0,5,0,1,21865,0,1654,1.38,1.24,0,fileio stress
