CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
5.96,0,5.21,0,2.86,0.1,0,0,14.13,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.71,5,5,0.01,0,0,31380316,18480176,22115900,16379900,8,0,0.8,79.205,43.755,-1,-1,1,0.8,0,0,0,35904,6280,0,14,3,2,6187,3,1694,0.45,0.54,0,memory stress
9.63,0,1.15,0,2.96,0.05,0,0,13.79,14.49,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0.57,7,5,0.04,0,0,31380316,12602304,16238020,16379900,24,0,4.2,58.381,3.126,-1,-1,1,4.2,0,0,0,38271,6730,0,14,3,0,6697,3,1693,0.45,0.54,0,memory stress
8.59,0,2,0,3.3,0.2,0,0,14.09,14.04,0,0,0,0,0,0,0,0,0,0,0,0,1.06,7.84,12,10,0.06,0,0,31380316,13392336,17028052,16379900,28,0,1.799,84.909,19.521,-1,-1,1,1.799,0,0,0,37787,4716,0,14,4,0,4701,2,1694,0.45,0.54,0,memory stress
8.94,0,2.06,0.05,2.81,0.05,0,0,13.86,15.29,0,56,0,0.47,0,1.75,0,8.64,0,1.05,1.9,0.04,0.1,0.13,2,2,0,0,0,31380316,16080452,19716168,16379900,32,0,2.852,69.721,3.735,-1,-1,1,2.852,0,0,484,38390,5342,0,14,2,18,5340,4,1697,0.45,0.54,0,memory stress
10.47,0,0.25,0.05,3,0.1,0,0,13.82,13.8,0,3,0,0.01,0,0,0,4.5,0,5,1.6,0.01,0.15,0.26,3,4,0,0,0,31380316,10072252,13707968,16379900,0,0,3.124,59.478,4.168,-1,-1,1,3.124,0,0,14,39524,5012,0,13,3,1,4984,2,1694,0.66,0.58,0,memory stress
10.43,0,0.2,0,3.06,0.1,0,0,13.79,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,10073560,13709276,16379900,8,0,3.129,59.703,4.166,-1,-1,1,3.129,0,0,0,37808,4651,0,13,2,0,4637,2,1694,0.66,0.58,0,memory stress
10.78,0,0.25,0,2.99,0.25,0,0,14.27,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.35,3,4,0,0,0,31380316,10079680,13715396,16379900,8,0,3.052,60.032,4.253,-1,-1,1,3.052,0,0,0,38652,4709,0,14,3,1,4700,3,1696,0.66,0.58,0,memory stress
10.59,0,0.15,0,3.05,0.15,0,0,13.94,13.85,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.32,6,5,0,0,0,31380316,10074484,13710200,16379900,236,0,3.113,59.624,4.206,-1,-1,1,3.113,0,0,0,38491,4828,0,14,3,0,4811,2,1695,0.66,0.58,0,memory stress
10.38,0,0.25,0,2.96,0.15,0,0,13.74,15.28,0,10,0,0.23,0,0,0,23.6,0,3.6,0.9,0.03,0.29,0.5,4,4,0,0,0,31380316,10071008,13706724,16379900,236,0,3.373,55.022,3.042,-1,-1,1,3.373,0,0,236,37904,5193,0,13,3,0,5170,4,1698,0.85,0.62,0,memory stress
10.48,0,0.15,0,3.1,0.1,0,0,13.83,15.32,0,0,0,0,0,0,0,0,0,0,0,0,4.84,1.56,10,12,0.04,0,0,31380316,10075340,13711056,16379900,12,0,4.037,29.803,0.699,-1,-1,1,4.037,0,0,0,39007,5184,0,13,3,0,5201,3,1698,0.85,0.62,0,memory stress
6.99,0,3.75,0,3.25,0.25,0,0,14.24,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.4,3,4,0,0,0,31380316,10074024,13709740,16379900,20,0,0.991,63.886,18.579,-1,-1,1,0.991,0,0,0,38536,5305,0,14,2,7,5268,2,1691,0.85,0.62,0,memory stress
10.35,0,0.25,0.05,3.1,0.2,0,0,13.9,15.39,0,11,0,0.05,0,0,0,4.64,0,2.45,2.9,0.02,0.2,0.13,4,2,0,0,0,31380316,10073156,13708876,16379900,28,0,4.172,52.747,3.692,-1,-1,1,4.172,0,0,51,37627,4678,0,13,3,0,4675,3,1691,0.94,0.64,0,memory stress
6.56,0,4.1,0.05,3.15,0.1,0,0,13.91,14.58,0,13,0,0.06,0,0,0,4.54,0,1.15,1.7,0.01,7.82,4.21,19,15,0.06,0,0,31380316,10075440,13711160,16379900,44,0,2.34,66.673,10.282,-1,-1,1,2.34,0,0,59,38701,5243,0,14,2,0,5240,3,1694,0.94,0.64,0,memory stress
4.96,0,5.76,0,3.05,0.15,0,0,13.92,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1,0,0,0,0,31380316,10075264,13710984,16379900,8,0,1.754,72.528,11.228,-1,-1,1,1.754,0,0,0,38593,4949,0,14,3,0,4914,3,1695,0.94,0.64,0,memory stress
