CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
1.05,0,0.8,0,3.15,0.2,0,0,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,112479.89,112479.89,4398,4398,0,0,0,31380316,18548940,22184072,16379900,24,0,0.942,22.2,4.747,-1,-1,1,0.942,0,0,0,39826,10802,0,5,1,6,10812,3,1690,0.78,0.84,0,net stress
0.85,0,0.25,0,3.16,0.15,0,0,4.41,4.41,0,0,0,0,0,0,0,0,0,0,0,0,122349.22,122349.22,4662,4662,0,0,0,31380316,18546400,22181512,16379900,32,0,0.756,17.061,5.171,-1,-1,1,0.756,0,0,0,39199,11632,0,5,0,21,11600,0,1689,0.78,0.84,0,net stress
0.6,0,0.35,0.05,3.56,0.15,0,0,4.66,4.65,0,81,0,0.73,0,1.22,0,9.21,0,1.96,1.7,0.14,122233.13,122233.13,4709,4709,0,0,0,31380316,18546616,22181728,16379900,52,0,0.705,22.612,4.977,-1,-1,1,0.705,0,0,746,38213,10852,0,5,1,21,10864,1,1687,0.78,0.84,0,net stress
0.5,0,0.25,0,3.26,0.15,0,0,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,122352.73,122352.73,4733,4733,0,0,0,31380316,18544324,22179436,16379900,60,0,0.685,14.596,4.135,-1,-1,1,0.685,0,0,0,38462,9027,0,4,0,0,9011,0,1690,0.78,0.84,0,net stress
0.5,0,0.25,0,3.41,0.3,0,0,4.46,4.45,0,0,0,0,0,0,0,0,0,0,0,0,122222.16,122222.16,4681,4681,0,0,0,31380316,18546444,22181556,16379900,16,0,0.799,21.198,6.019,-1,-1,1,0.799,0,0,0,39539,9250,0,5,1,0,9225,1,1689,0.72,0.82,0,net stress
0.4,0,0.4,0,3.41,0.15,0,0,4.36,4.35,0,3,0,0.02,0,0,0,7.83,0,5,1.6,0.01,122317.83,122317.83,4045,4045,0,0,0,31380316,18555756,22190868,16379900,16,0,0.759,18.252,4.621,-1,-1,1,0.759,0,0,23,39194,8868,0,5,1,21,8848,2,1695,0.72,0.82,0,net stress
0.5,0,0.25,0,3.3,0.25,0,0,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,122223.46,122223.46,4708,4708,0,0,0,31380316,18554004,22189116,16379900,16,0,0.723,17.11,4.803,-1,-1,1,0.723,0,0,0,37896,10525,0,5,0,21,10490,0,1687,0.72,0.82,0,net stress
0.55,0,0.35,0,3.4,0.1,0,0,4.4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,122223.1,122223.1,4701,4701,0,0,0,31380316,18555992,22191104,16379900,16,0,0.804,16.825,4.234,-1,-1,1,0.804,0,0,0,39519,8981,0,4,1,0,8922,1,1688,0.72,0.82,0,net stress
0.4,0,0.2,0,3.22,0.05,0,0,3.87,3.87,0,0,0,0,0,0,0,0,0,0,0,0,122354.15,122354.15,4761,4761,0,0,0,31380316,18543528,22178640,16379900,16,0,0.724,19.399,5.618,-1,-1,1,0.724,0,0,0,38707,9617,0,5,1,0,9612,0,1687,0.66,0.81,0,net stress
0.75,0,0.45,0.1,3.44,0.4,0,0,5.04,5.02,0,14,0,0.08,0,0,0,5.68,0,1.64,2.4,0.02,122345.75,122345.75,4593,4593,0,0,0,31380316,18542264,22177376,16379900,708,0,0.744,19.945,4.943,-1,-1,1,0.744,0,0,80,39543,10116,0,5,0,22,10069,0,1689,0.66,0.81,0,net stress
