TCP_sent,TCP_recv,DISK_read,DISK_write,DISK_read_cnt,DISK_write_cnt,CPU_usage
0,0,3162120,0,43,0,83.283268611
0,0,217088,0,9,0,55.419791864
0,0,8,0,1,0,50.662922465
0,0,0,0,0,0,75.086591723
0,0,2646024,8192,67,2,77.876136605
0,0,0,0,0,0,41.26083442
0,0,2797576,0,68,0,88.297286217
0,0,19344384,55366144,675,413,152.925176705
0,0,573448,0,34,0,100.994805026
0,0,483328,0,8,0,51.727746468
0,0,1113608,36352,26,3,94.822896568
0,0,557056,0,41,0,91.508421168
0,0,8,0,1,0,83.649687253
0,0,0,0,0,0,67.92580471
0,0,4104,4096,2,1,115.161462793
0,0,0,0,0,0,98.687492098
0,0,1921032,0,50,0,160.182469287
0,0,12136448,0,172,0,74.299511623
0,0,12296,0,4,0,90.660567813
0,0,16384,12288,4,3,75.72340364
0,0,8,0,1,0,99.680538759
0,0,0,0,0,0,75.330978366
0,0,3776520,0,46,0,152.337477245
0,0,0,0,0,0,65.109406163
0,0,8,0,1,0,96.501977253
0,0,0,0,0,0,63.877175006
0,0,1146888,0,117,0,106.71383553
0,0,0,0,0,0,191.172073794
0,0,14401544,0,329,0,139.893476224
0,0,1564672,0,65,0,56.247075107
0,0,4104,0,2,0,138.028362805
0,0,19794432,31232,364,3,330.986680443
0,0,3301384,0,302,0,89.667726217
0,0,0,0,0,0,62.301981803
0,0,290824,9621504,5,71,113.409750613
0,0,978944,0,11,0,84.136808331
0,0,4104,0,2,0,75.942252145
0,0,0,0,0,0,61.03120242
0,0,8,0,1,0,61.38471304
0,0,5632,5632,2,2,149.48718215
0,0,245768,259584,27,32,105.299493591
